SA,ZA,ZEE,ZB,ZC,ZD,ZE,ZF,ZH,ZJ,ZL,OAJ,ZX,ZHS,ZCC,TSS,ZAF,AA,AD,ADE,AB,CR,AC,CX,RW,AX,AO,BW,BX,WL,WM,PX,AE,FH,JA,WU,GRA,CA,FU,CY,CC,AG,AT,BA,BC,OA,WN,PY,AF,FK,JB,WV,AS,AZ,GRB,CB,FV,AH,AU,BB,BD,OB,BE,BF,FJ,GA,FW,FL,GB,FX,ZO,ZG,QA,QB,QC,A1
,,,,,,,,,,,,,,,,,ng1Fl3kf,1777458300,1777458300,3,3,3,Tanaka Y.,0,0,1777460689,0,-1,,TAN,xQbRefgp,Tanaka Y.,Tanaka Y.,ILy9NLcB,tanaka-yuji,0,100,Japan,100,Japan,2,2,21,21,AD7hnrA6-f5V05NwA.png,HOH,Ig3dxk1m,Hoh J.,Hoh J.,2Bbt5Dsp,hoh-justin-shou-wei,1,1,0,121,Malaysia,0,0,15,12,pbbq6FSq-bwIgPVX0.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,vTc7jPKs,1777460100,1777460100,3,3,3,Weng H. Y.,0,0,1777464134,0,-1,,WEN,0rMDF0d6,Weng H. Y.,Weng H. Y.,xrzgR3bn,weng-hongyang,0,52,China,52,China,1,1,21,13,4jRexnlC-2ZO7QzA8.png,SHE,6gsdLX3P,Shetty A.,Shetty A.,p8w1PsTb,shetty-ayush,2,2,0,93,India,2,2,17,21,UNcIbHBN-Yaztawf5.png,15,21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4Ctm324m,1777461600,1777461600,3,3,3,Nguyen J.,0,0,1777463343,0,-1,,NGU,YsdfD0v7,Nguyen J.,Nguyen J.,lOODNtF8,nguyen-josh,0,47,Canada,47,Canada,2,2,21,21,d04Ti28k-UTtC5Jeo.png,BOO,zRCmFBDO,Boopathy R. H.,Boopathy R. H.,MyNLLKqL,boopathy-rishi-honda,1,1,0,24,Australia,0,0,11,7,men,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,YTkH8OtQ,1777466700,1777466700,3,3,3,Watanabe K.,0,0,1777468595,0,-1,,WAT,2N8B4tBf,Watanabe K.,Watanabe K.,COtMHjRk,watanabe-koki,0,100,Japan,100,Japan,0,0,13,19,pfzbDr96-2ZO7QzA8.png,LEE,fkHsTftd,Lee Z. J.,Lee Z. J.,KlpUFUe2,lee-zii-jia,2,2,0,121,Malaysia,2,2,21,21,GQrlYxle-ruDQA1oF.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,SW2VpLlJ,1777467300,1777467300,3,3,3,Lu G. Z.,0,0,1777471770,0,-1,,LU,lrunk7GU,Lu G. Z.,Lu G. Z.,AehrPYYF,lu-guangzu,0,52,China,52,China,1,1,22,19,8InCYNmC-ruDQA1oF.png,PRA,25a8ZBnU,Prannoy H. S.,Prannoy H. S.,GhejNC3S,prannoy-h-s,2,2,0,93,India,2,2,20,21,SntKLg6k-KdOUVKUB.png,11,21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,b7NkmSh2,1777479000,1777479000,3,3,3,Chou T. Ch.,0,0,1777483934,0,-1,,CHO,C0M90JJT,Chou T. Ch.,Chou T. Ch.,KniOrCh2,chou-tien-chen,0,218,Taiwan,218,Taiwan,1,1,14,21,zeFeUbBN-IL3mjpHB.png,ANT,GMQqJqeP,Antonsen A.,Antonsen A.,ngqA6Fp9,antonsen-anders,2,2,0,63,Denmark,2,2,21,13,ALPM8d86-IL3mjpHB.png,15,21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,zRyXPSVH,1777479000,1777479000,3,3,3,Huang H.,0,0,1777483299,0,-1,,HUA,tUNv8gSR,Huang H.,Huang H.,dfBnRjLM,huang-harry,0,198,England,198,England,2,2,16,21,t2V3hXlC-Gv0EOyv9.png,OLD,hdXbT6ek,Oldorff J.,Oldorff J.,hQdILUrp,oldorff-joakim,1,1,0,76,Finland,1,1,21,12,b18GZble-Ug0RtBqM.png,21,13,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,buBiam4m,1777479000,1777479000,3,3,3,Yoo T. B.,0,0,1777481397,0,-1,,YOO,xIiOnrBc,Yoo T. B.,Yoo T. B.,d4tQpTbT,yoo-tae-bin,0,106,South Korea,106,South Korea,2,2,21,21,men,BJO,fmaAE2qS,Bjorkler G.,Bjorkler G.,SnXeu7Mj,bjorkler-gustav,1,1,0,181,Sweden,0,0,11,14,zDANisiT-0II4MG5n.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,vmYCle1k,1777483800,1777483800,3,3,3,Kayan C.,0,0,1777485979,0,-1,,KAY,rNHwBhFr,Kayan C.,Kayan C.,jcbbcVoS,kayan-cholan,0,198,England,198,England,0,0,10,10,S8vmPS86-dUDaSyWh.png,KOL,M1Y8Jiqm,Koljonen K.,Koljonen K.,MukUi99k,koljonen-kalle,2,2,0,76,Finland,2,2,21,21,CWhttgme-KdIXNQDa.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,vLw6AxO8,1777484400,1777484400,3,3,3,Choi J.,0,0,1777486633,0,-1,,CHO,Oxu0Thdl,Choi J.,Choi J.,E7cVBU0L,choi-ji-hoon,0,106,South Korea,106,South Korea,2,2,21,21,AZEL6tQq-GSo1BaXM.png,LIN,fFXe1ZSI,Linell K.,Linell K.,pjl168Or,linell-kim,1,1,0,181,Sweden,0,0,7,17,men,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4rT0JYTH,1777392600,1777392600,3,3,3,An S. Y.,0,0,1777395165,0,-1,,AN,CChiNgrS,An S. Y.,An S. Y.,8KTZ5VIj,an-se-young,0,106,South Korea,106,South Korea,2,2,21,21,E77d56jT-EThGTIUN.png,INT,4CEwVcY9,Intanon R.,Intanon R.,zRLLTYAc,intanon-ratchanok,1,1,0,186,Thailand,0,0,15,12,2LHxJqA6-Spvaw1Sh.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,xdR8HCbU,1777398600,1777398600,3,3,3,Kim G. E.,0,0,1777402867,0,-1,,KIM,ju7mEOC7,Kim G. E.,Kim G. E.,8vKTRCuA,kim-ga-eun,0,106,South Korea,106,South Korea,2,2,18,21,MDWuTwle-ShQLS8eS.png,CHO,GKVi2Jal,Chochuwong Po.,Chochuwong Po.,feIyQjAM,chochuwong-pornpawee,1,1,0,186,Thailand,1,1,21,16,EH8fmdS0-4lWrAiWQ.png,21,17,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6B1IyGqn,1777406400,1777406400,3,3,3,Sim Y. J.,0,0,1777408721,0,-1,,SIM,nL7Z4n95,Sim Y. J.,Sim Y. J.,Qw97KUXq,sim-yu-jin,0,106,South Korea,106,South Korea,2,2,23,21,n1u0owhT-GSo1BaXM.png,KAT,xbrllpgM,Katethong S.,Katethong S.,bi7FI82d,katethong-supanida,1,1,0,186,Thailand,0,0,21,12,dCU5EuiT-Qe6qEDTp.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0WuoaAsA,1777398900,1777398900,3,3,3,Teeraratsakul P.,0,0,1777400326,0,-1,,MAM,ncF7eOD4/SrF5kGOS,Oupthong R./Teeraratsakul P.,Oupthong R.,WYQ3b5Xo,oupthong-ruttanapak,0,186,Thailand,186/186,Thailand,2,2,21,21,dEuuxiBN-YLyDzYiH.png;bJVLC7AN-YyGZPRi7.png,HAM,tzRaNggS/YZMSJptF,Hamek A./Mammeri K.,Hamek A.,vaUBdq2b,hamek-adel,1,1,0,18,Algeria,0,0,6,11,ABn8gpkC-A5ktNonN.png;men,,,Teeraratsakul P.,186,Thailand,Mammeri K.,18,Algeria,,,,,,
,,,,,,,,,,,,,,,,,APXWk64d,1777401000,1777401000,3,3,3,Sukphun P.,0,0,1777402125,0,-1,,OUC,8GLyYkLQ/ShIrrzcA,Puavaranukroh D./Sukphun P.,Puavaranukroh D.,UV7i9Mo4,puavaranukroh-dechapol,0,186,Thailand,186/186,Thailand,2,2,21,21,h6r5ZHjT-E5dSpwwg.png;men,BEL,r3kpdJ20/x8TJL6B2,Belarbi M. A./Ouchefoun M.,Belarbi M. A.,xdBa70GG,belarbi-mohamed-abderrahime,1,1,0,18,Algeria,0,0,4,5,SSCKQEkC-nTqqTWMr.png;men,,,Sukphun P.,186,Thailand,Ouchefoun M.,18,Algeria,,,,,,
,,,,,,,,,,,,,,,,,SIsw1WCc,1777405800,1777405800,3,3,3,Isfahani M. R. P.,0,0,1777408395,0,-1,,ROS,r5v4PMdq/dj3hkqJG,Gutama S. K./Isfahani M. R. P.,Gutama S. K.,MonkdFjI,gutama-sabar-karyaman,0,228,Indonesia,228/228,Indonesia,0,0,19,19,ALTYHWRq-r5SkGXOd.png;4Ii4RukC-Sz9NtZMG.png,ADA,tIXI2Xkk/67XCdR62,Adam E./Rossi L.,Adam E.,Eg4dfgLU,adam-eloi,2,2,0,77,France,2,2,21,21,men;men,,,Isfahani M. R. P.,228,Indonesia,Rossi L.,77,France,,,,,,
,,,,,,,,,,,,,,,,,xCZOiSZq,1777408500,1777408500,3,3,3,Fikri M. S.,0,0,1777412314,0,-1,,POP,zFB54F9e/j5joQKiQ,Alfian F./Fikri M. S.,Alfian F.,UBHcmuPp,alfian-fajar,0,228,Indonesia,228/228,Indonesia,2,2,21,19,YHuLVzB6-YeMm9uUu.png;0MvDAuhT-MZkFYKuD.png,POP,4ltqyHW4/6s0IBZwf,Popov C./Popov T. J.,Popov C.,dI9qBrHi,popov-christo,1,1,0,77,France,1,1,18,21,6ZVPvfS0-2ZO7QzA8.png;OpBLFlQq-ruDQA1oF.png,21,11,Fikri M. S.,228,Indonesia,Popov T. J.,77,France,,,,,,
,,,,,,,,,,,,,,,,,lM9zsCmo,1777453200,1777453200,3,3,3,Lindeman T. A.,0,0,1777454804,0,-1,,YU,Gl7l4fIe/nDNrScA2,Lee K./Lindeman T. A.,Lee K.,W2K0YcTQ,lee-kevin,0,47,Canada,47/47,Canada,2,2,21,21,S2FohkjC-phqFURoB.png;men,HID,tvyfGXsN/QTkMzUL3,Hidayat R./Yu J.,Hidayat R.,SY5WSyil,hidayat-rizky,1,1,0,24,Australia,0,0,13,15,men;Uim49a96-Snys56O2.png,,,Lindeman T. A.,47,Canada,Yu J.,24,Australia,,,,,,
,,,,,,,,,,,,,,,,,pjr3aK3C,1777453800,1777453800,3,3,3,Nishi H.,0,0,1777457778,0,-1,,TEE,MZVx75C8/UJJuskqc,Kumagai K./Nishi H.,Kumagai K.,baP6CG67,kumagai-kakeru,0,100,Japan,100/100,Japan,1,1,21,14,bc4UHE86-2D91Utsr.png;zNuW38kC-CY1QlQNQ.png,CHI,88JFJoPD/23UWg0bb,Chia A./Tee K. W.,Chia A.,Q5HhzKbE,chia-aaron,2,2,0,121,Malaysia,2,2,16,21,nqjD1SU0-ShQLS8eS.png;6TjSD996-W2hTmOm1.png,19,21,Nishi H.,100,Japan,Tee K. W.,121,Malaysia,,,,,,
,,,,,,,,,,,,,,,,,xQve1tZa,1777455300,1777455300,3,3,3,Wang C.,0,0,1777459307,0,-1,,SHE,8dcJoN2g/f9kSGCOt,Liang W. K./Wang C.,Liang W. K.,ILNjGb7r,liang-weikeng,0,52,China,52/52,China,2,2,21,13,WAW88lU0-4WdJHy4U.png;8tuw46kC-dYDdR5PH.png,RAN,CAJx80JB/jZgbSKMc,Rankireddy S./Shetty C.,Rankireddy S.,QoRbExxe,rankireddy-satwiksairaj,1,1,0,93,India,1,1,13,21,IRAUf6hT-htRD8g3k.png;EHUPyCT0-bNqTtxEr.png,26,24,Wang C.,52,China,Shetty C.,93,India,,,,,,
,,,,,,,,,,,,,,,,,d63x1XvH,1777458000,1777458000,3,3,3,Yakura N.,0,0,1777461154,0,-1,,ZHA,plLGfAGQ/4zSpce1C,Leung D./Yakura N.,Leung D.,hIlCuFzf,leung-daniel,0,47,Canada,47/47,Canada,2,2,15,21,men;ILDDdS7k-b7NQfNpb.png,RAM,48iOk3jJ/SppAbsft,Ramadiansyah A./Zhao F.,Ramadiansyah A.,QVnKwg56,ramadiansyah-andika,1,1,0,24,Australia,1,1,21,19,men;men,21,11,Yakura N.,47,Canada,Zhao F.,24,Australia,,,,,,
,,,,,,,,,,,,,,,,,lt0U2gA4,1777461300,1777461300,3,3,3,Shimogami Y.,0,0,1777465464,0,-1,,SOH,6eDXcNYO/CptNvkKs,Nomura T./Shimogami Y.,Nomura T.,zJaYncrK,nomura-takumi,0,100,Japan,100/100,Japan,2,2,14,21,buaoVuRq-StSq66bs.png;ljuvVpDN-xffUBlhk.png,IZZ,4t0FZ6a2/IHXYEMGt,Izzuddin N./Soh W. Y.,Izzuddin N.,pho4sy6s,izzuddin-nur,1,1,0,121,Malaysia,1,1,21,19,Qo3yAQlC-0ItuEAoj.png;G0efd65k-ShQLS8eS.png,21,19,Shimogami Y.,100,Japan,Soh W. Y.,121,Malaysia,,,,,,
,,,,,,,,,,,,,,,,,tGdM4Fuh,1777464600,1777464600,3,3,3,Ren X. Y.,0,0,1777466929,0,-1,,M.R,YLm7bpgo/6VVhSMA6,He J. T./Ren X. Y.,He J. T.,za9vRFL0,he-jiting,0,52,China,52/52,China,2,2,21,21,men;men,AMS,QDTrp4kH/SvAzxdEi,Amsakarunan H./M.R. Arjun,Amsakarunan H.,rPCnPgjD,amsakarunan-hariharan,1,1,0,93,India,0,0,17,13,rZ37Z7gT-jXQ8Zy5s.png;men,,,Ren X. Y.,52,China,M.R. Arjun,93,India,,,,,,
,,,,,,,,,,,,,,,,,rHnsfHwS,1777482000,1777482000,3,3,3,Seo S. J.,0,0,1777483631,0,-1,,SVE,0tHi9urp/YTNGIe1l,Kim W. H./Seo S. J.,Kim W. H.,AJdr1Dn3,kim-won-ho,0,106,South Korea,106/106,South Korea,2,2,21,21,zHMvOJjC-xxmcCuIG.png;I1wqFh5k-C2qOAStC.png,MOL,8tOH9Dn3/KArdx242,Molin M./Svensson M.,Molin M.,Iq0jaiHF,molin-mio,1,1,0,181,Sweden,0,0,3,12,men;men,,,Seo S. J.,106,South Korea,Svensson M.,181,Sweden,,,,,,
,,,,,,,,,,,,,,,,,80TNu61K,1777484400,1777484400,3,3,3,Wang Chi-Lin,0,0,1777486631,0,-1,,VES,Wb29dySE/Stzulxpr,Chiu H. C./Wang Chi-Lin,Chiu H. C.,jHCQhzxg,chiu-hsiang-chieh,0,218,Taiwan,218/218,Taiwan,2,2,21,22,txGHKC5k-Kh0wEXJC.png;Kfk1jckC-U1CmOS3q.png,LUN,j7aTfdFK/hrryPuoR,Lundgaard D./Vestergaard M.,Lundgaard D.,OUAYjE65,lundgaard-daniel,1,1,0,63,Denmark,0,0,7,20,GY0DypRq-ADDfjcmK.png;hUIGJsVH-883LHxse.png,,,Wang Chi-Lin,218,Taiwan,Vestergaard M.,63,Denmark,,,,,,
,,,,,,,,,,,,,,,,,Ey5QZgEb,1777395600,1777395600,3,3,3,Lee S. H.,0,0,1777398243,0,-1,,TUN,fJKDE6rd/QZ4tWLCS,Baek H. N./Lee S. H.,Baek H. N.,Qca1tCf3,baek-ha-na,0,106,South Korea,106/106,South Korea,2,2,21,21,8dNPyhjT-xxmcCuIG.png;0AWVtlSq-8hBiNnJk.png,MIJ,bREFmD5E/OncKZP2M,Mijad H./Tungkasatan N.,Mijad H.,Wf29vjPF,mijad-hathaithip,1,1,0,186,Thailand,0,0,11,14,women;women,,,Lee S. H.,106,South Korea,Tungkasatan N.,186,Thailand,,,,,,
,,,,,,,,,,,,,,,,,nk3YXXrB,1777403100,1777403100,3,3,3,Kim H. J.,0,0,1777405850,0,-1,,PAE,ID3u9QPg/SrcnhyVq,Jeong N. E./Kim H. J.,Jeong N. E.,480HxUgS,jeong-na-eun,0,106,South Korea,106/106,South Korea,2,2,21,21,Qyl2MZCN-GSo1BaXM.png;rc01WVVH-C2qOAStC.png,AIM,CEDCMRl4/QylY9bmP,Aimsaard B./Paewsampran S.,Aimsaard B.,ziimX7Hk,aimsaard-benyapa,1,1,0,186,Thailand,0,0,11,9,roIkCPVH-jV3mUGCf.png;lAZm2SUH-xzMhbl81.png,,,Kim H. J.,106,South Korea,Paewsampran S.,186,Thailand,,,,,,
,,,,,,,,,,,,,,,,,4ne3xKVi,1777392600,1777392600,3,3,3,Indonesia,0,0,1777412407,0,-1,,IND,lOljGcSd,Indonesia,Indonesia,UemVysJl,indonesia,0,,,,,1,1,,,tnIPolXH-YTwvSpN0.png,FRA,2uz9VGqe,France,France,29owzLm1,france,2,2,0,,,4,4,,,MgLHF57k-GntWT6hl.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,xt3HEGwo,1777392600,1777392600,3,3,3,Thailand,0,0,1777402167,0,-1,,THA,pfIIBZtS,Thailand,Thailand,65vhqPQE,thailand,0,,,,,5,5,,,6FMCzJiT-AixrR4x7.png,ALG,CW2xqknC,Algeria,Algeria,EVs0s3eR,algeria,1,1,0,,,0,0,,,Iq7iCMRq-U9UkzXjf.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,G8iVoR3s,1777449600,1777449600,3,3,3,Canada,0,0,1777463652,0,-1,,CAN,nZ0DIPYI,Canada,Canada,z7RbOTmd,canada,0,,,,,5,5,,,Mg3c7P7k-v13JvO66.png,AUS,rLtjt9BJ,Australia,Australia,2DJpnXu3,australia,1,1,0,,,0,0,,,2kl1QJWH-Ii2NwrMC.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OYfwp5Yg,1777449600,1777449600,3,3,3,China,0,0,1777471949,0,-1,,CHI,zyqigzLq,China,China,8AMhpBAF,china,0,,,,,3,3,,,hMBSAiCN-YTwvSpN0.png,IND,SEmfFHs3,India,India,tOK0rkuS,india,1,1,0,,,2,2,,,0Ui4tS76-YTwvSpN0.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,YowJdrIa,1777449600,1777449600,3,3,3,Japan,0,0,1777468813,0,-1,,JPN,2oe6CFRL,Japan,Japan,hvMxgugm,japan,0,,,,,3,3,,,QJy9HOS0-AixrR4x7.png,MAL,C42c4iZ1,Malaysia,Malaysia,04PpiJNa,malaysia,1,1,0,,,2,2,,,fDbrR9U0-AixrR4x7.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OjxE5w1U,1777479000,1777479000,3,3,3,Chinese T.,0,0,1777499442,0,-1,,CHI,Ucrehfzj,Chinese T.,Chinese T.,W4sVWfyh,chinese-taipei,0,,,,,3,3,,,WjLeDajC-YTwvSpN0.png,DEN,tOMMxaiL,Denmark,Denmark,4IuwVY54,denmark,1,1,0,,,2,2,,,vuwBtASq-Cz52VBFi.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6DjQfMnC,1777479000,1777479000,3,3,3,England,0,0,1777492907,0,-1,,ENG,OnCRyJ6R,England,England,8UShkchC,england,0,,,,,4,4,,,GptDv9ne-xdsSUnwr.png,FIN,Oly5WdUl,Finland,Finland,trR0myNO,finland,1,1,0,,,1,1,,,M1ikDcT0-GntWT6hl.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,GQY57aWH,1777479000,1777479000,3,3,3,South Korea,0,0,1777492292,0,-1,,KOR,b1bg5XJe,South Korea,South Korea,8ElEEDLN,south-korea,0,,,,,5,5,,,W46HBFCN-AixrR4x7.png,SWE,ETGQdZSm,Sweden,Sweden,4bkq9iqo,sweden,1,1,0,,,0,0,,,ALzGCEjT-4zPjvKyp.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,tl23nheo,1777392600,1777392600,3,3,3,South Korea W,0,0,1777409179,0,-1,,KOR,2m8KXrGl,South Korea W,South Korea W,SQHKbJrh,south-korea,0,,,,,5,5,,,dC5St2oe-lpOlJAuM.png,THA,OYWuJjle,Thailand W,Thailand W,0vGSdcD4,thailand,1,1,0,,,0,0,,,Wt2ZjyA6-4dMymnaQ.png,,,,,,,,,,,,,,
