SA,ZA,ZEE,ZB,ZC,ZD,ZE,ZF,ZH,ZJ,ZL,OAJ,ZX,ZHS,ZCC,TSS,ZAF,AA,AD,ADE,AB,CR,AC,CX,RW,AX,AO,BW,BX,WL,WN,PY,AF,FK,JB,WV,GRB,CB,FV,AH,AU,BB,BD,BF,OB,WM,PX,AE,FH,JA,WU,AS,AZ,GRA,CA,FU,CY,CC,AG,AT,BA,BC,BE,OA,AM,FJ,GA,FW,FL,GB,FX,ZO,ZG,AL,AN,A1
,,,,,,,,,,,,,,,,,A3dyqSiK,1777574700,1777574700,3,3,3,Schulz A.,0,0,1777577420,0,-1,,WAR,C6hchcQt,Wardoyo E. N. T.,Wardoyo E. N. T.,QRlojSkI,wardoyo-ester-nurumi-tri,0,228,Indonesia,2,2,21,21,,WrIZQyne-viGlTsu9.png,SCH,CMuYWqA2,Schulz A.,Schulz A.,hEjwhlL5,schulz-amalie,2,2,0,63,Denmark,63,Denmark,0,0,13,18,,8dT2ddA6-bJN9qHoj.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,nRbMZNE6,1777580100,1777580100,3,3,5,Huang Y-H.,0,0,,0,-1,,SIM,nL7Z4n95,Sim Y. J.,Sim Y. J.,MctdU5pd,sim-yu-jin,0,106,South Korea,,,,,,n1u0owhT-GSo1BaXM.png,HUA,4Kv6XGa1,Huang Y-H.,Huang Y-H.,lprlWRFq,huang-yu-hsun,,,0,218,Taiwan,218,Taiwan,,,,,,txvej5WH-Cbcpa4F9.png,Tie decided.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,nsJMYPqJ,1777627800,1777627800,3,3,3,Wang C.,0,0,1777629699,0,-1,,CHI,4t0FZ6a2/23UWg0bb,Chia A./Soh W. Y.,Chia A.,fDZulk5F,chia-aaron,0,121,Malaysia,0,0,22,14,,nqjD1SU0-ShQLS8eS.png;G0efd65k-ShQLS8eS.png,SOH,8dcJoN2g/f9kSGCOt,Liang W. K./Wang C.,Liang W. K.,MayYkBz3,liang-weikeng,1,1,0,52,China,52/52,China,2,2,24,21,,WAW88lU0-4WdJHy4U.png;8tuw46kC-dYDdR5PH.png,,Wang C.,52,China,Soh W. Y.,121,Malaysia,,,,,
,,,,,,,,,,,,,,,,,UDGwi7am,1777628700,1777628700,3,3,3,Shetty C.,0,0,1777633409,0,-1,,CHI,Wb29dySE/Stzulxpr,Chiu H. C./Wang Chi-Lin,Chiu H. C.,WCJD2lK8,chiu-hsiang-chieh,0,218,Taiwan,1,1,21,21,12,txGHKC5k-Kh0wEXJC.png;Kfk1jckC-U1CmOS3q.png,WAN,CAJx80JB/jZgbSKMc,Rankireddy S./Shetty C.,Rankireddy S.,46RRvoS1,rankireddy-satwiksairaj,1,1,0,93,India,93/93,India,2,2,23,19,21,IRAUf6hT-htRD8g3k.png;EHUPyCT0-bNqTtxEr.png,,Shetty C.,93,India,Wang Chi-Lin,218,Taiwan,,,,,
,,,,,,,,,,,,,,,,,EmB8dTyQ,1777634400,1777634400,3,3,5,Liu Y.,0,0,,0,-1,,GOH,88JFJoPD/O2O10jHG,Goh S. F./Tee K. W.,Goh S. F.,WhTJt7ck,goh-sze-fei,0,121,Malaysia,,,,,,SlbIN38k-v1mon7SE.png;6TjSD996-W2hTmOm1.png,TEE,x4fDfPTI/WY8111K0,Chen B. Y./Liu Y.,Chen B. Y.,2wwlnTZR,chen-boyang,,,0,52,China,52/52,China,,,,,,fgcA28kC-4djFAhPa.png;GU0XWq7k-0GZE63EF.png,Tie decided.,Liu Y.,52,China,Tee K. W.,121,Malaysia,,,,,
,,,,,,,,,,,,,,,,,2REokoUa,1777637400,1777637400,3,3,5,M.R. Arjun,0,0,,0,-1,,LIU,WU6xWUC8/pSIhHOOl,Liu K. H./Yang Po-Hsuan,Liu K. H.,APqgrKYg,liu-kuang-heng,0,218,Taiwan,,,,,,l21miyiC-2HwwtcCU.png;hfCkUX5k-GjSCm8jj.png,YAN,QDTrp4kH/SvAzxdEi,Amsakarunan H./M.R. Arjun,Amsakarunan H.,xCoopt4s,amsakarunan-hariharan,,,0,93,India,93/93,India,,,,,,rZ37Z7gT-jXQ8Zy5s.png;men,Tie decided.,M.R. Arjun,93,India,Yang Po-Hsuan,218,Taiwan,,,,,
,,,,,,,,,,,,,,,,,hnlebMtP,1777568400,1777568400,3,3,3,Hung E-T.,0,0,1777572535,0,-1,,LEE,2HSCaQMj/fJKDE6rd,Lee S. H./Lee Y. W.,Lee S. H.,buF2vGYF,lee-so-hee,0,106,South Korea,2,2,15,21,21,0AWVtlSq-8hBiNnJk.png;WKDObQRq-0pFhE71M.png,LEE,pnIds2sn/U5U3R0ah,Hsieh P. S./Hung E-T.,Hsieh P. S.,jFBftx43,hsieh-pei-shan,2,2,0,218,Taiwan,218/218,Taiwan,1,1,21,8,17,AFjg5fSq-M3H94fM3.png;zkr63DSq-6RB3nAhU.png,,Hung E-T.,218,Taiwan,Lee Y. W.,106,South Korea,,,,,
,,,,,,,,,,,,,,,,,nTN1A7oe,1777571400,1777571400,3,3,3,Werge M.,0,0,1777574253,0,-1,,KUS,4leyh7g0/jsxHTffB,Kusuma F. D./Puspitasari M. T.,Kusuma F. D.,2XThCC7D,kusuma-febriana-dwipuji,0,228,Indonesia,2,2,21,21,,IyWn4hT0-h0y6QEXR.png;rZD85hT0-fynMvmgb.png,PUS,SEEzFoFb/OGwq8tsB,Kudsk A. C./Werge M.,Kudsk A. C.,f7QpEYx1,kudsk-amalie-cecilie,2,2,0,63,Denmark,63/63,Denmark,0,0,19,11,,lYZjKQ7k-6DryaQcd.png;women,,Werge M.,63,Denmark,Puspitasari M. T.,228,Indonesia,,,,,
,,,,,,,,,,,,,,,,,tnm7w6Fs,1777576200,1777576200,3,3,3,Hsu Y. H.,0,0,1777579773,0,-1,,HSU,ID3u9QPg/SrcnhyVq,Jeong N. E./Kim H. J.,Jeong N. E.,vij2uWhc,jeong-na-eun,0,106,South Korea,2,2,21,21,,Qyl2MZCN-GSo1BaXM.png;rc01WVVH-C2qOAStC.png,HSU,bN2voBjF/AajsDvOE,Hsu Y. C./Hsu Y. H.,Hsu Y. C.,AHBIXJZj,hsu-ya-ching,2,2,0,218,Taiwan,218/218,Taiwan,0,0,17,13,,zBDKRqjT-vkXBCRp3.png;f1L1iKne-xrbb8jmU.png,,Hsu Y. H.,218,Taiwan,Kim H. J.,106,South Korea,,,,,
,,,,,,,,,,,,,,,,,EaoFyppf,1777577700,1777577700,3,3,5,Christophersen L.,0,0,,0,-1,,ROS,IqZ1jWNK/YymFiREU,Rose R. A./Setianingrum F.,Rose R. A.,KUiIylhM,rose-rachel-allessya,0,228,Indonesia,,,,,,MwSeXE8k-lWEoXvot.png;SphWRB96-nTeeuDD7.png,SET,W4BwLm2t/hxHGdqP7,Boje A./Christophersen L.,Boje A.,C4lAwAN9,boje-alexandra,,,0,63,Denmark,63/63,Denmark,,,,,,pGJw8yle-nJUBLY6O.png;06KNUKjT-YRn3qYc4.png,Tie decided.,Christophersen L.,63,Denmark,Setianingrum F.,228,Indonesia,,,,,
,,,,,,,,,,,,,,,,,UcfbeRfl,1777623000,1777623000,3,3,3,China,0,0,1777634644,0,-1,,MAL,C42c4iZ1,Malaysia,Malaysia,65tmUGzi,malaysia,0,,,0,0,,,,fDbrR9U0-AixrR4x7.png,CHI,zyqigzLq,China,China,dWfHZxDT,china,1,1,0,,,,,3,3,,,,hMBSAiCN-YTwvSpN0.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,joUIFet3,1777623000,1777623000,3,3,3,India,0,0,1777637431,0,-1,,CHI,Ucrehfzj,Chinese T.,Chinese T.,8Skgusqh,chinese-taipei,0,,,0,0,,,,WjLeDajC-YTwvSpN0.png,IND,SEmfFHs3,India,India,GY27Hwio,india,1,1,0,,,,,3,3,,,,0Ui4tS76-YTwvSpN0.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,bBXQDZAF,1777651200,1777651200,1,1,1,France,0,0,,0,-1,,JPN,2oe6CFRL,Japan,Japan,OId9yarH,japan,0,,,,,,,,QJy9HOS0-AixrR4x7.png,FRA,2uz9VGqe,France,France,Ghg1wLD4,france,,,0,,,,,,,,,,MgLHF57k-GntWT6hl.png,,,,,,,,,,"{""1"":[{""TVI"":4255,""BU"":""https:\/\/play.tv2.dk\/"",""BN"":""TV2 Play (Den)"",""BAF"":true}]}",n,
,,,,,,,,,,,,,,,,,GEh6g5P0,1777651200,1777651200,1,1,1,Thailand,0,0,,0,-1,,DEN,tOMMxaiL,Denmark,Denmark,8hJvz7O9,denmark,0,,,,,,,,vuwBtASq-Cz52VBFi.png,THA,pfIIBZtS,Thailand,Thailand,zuLWyTgc,thailand,,,0,,,,,,,,,,6FMCzJiT-AixrR4x7.png,,,,,,,,,,"{""1"":[{""TVI"":4255,""BU"":""https:\/\/play.tv2.dk\/"",""BN"":""TV2 Play (Den)"",""BAF"":true},{""TVI"":226,""BU"":""https:\/\/sport.tv2.dk\/"",""BN"":""TV2 Sport (Den)"",""BAF"":true}]}",n,
,,,,,,,,,,,,,,,,,IP7DdRvm,1777565400,1777565400,3,3,3,Chinese T. W,0,0,1777579807,0,-1,,KOR,2m8KXrGl,South Korea W,South Korea W,foXpsGVQ,south-korea,0,,,3,3,,,,dC5St2oe-lpOlJAuM.png,CHI,MuTdPhBR,Chinese T. W,Chinese T. W,nLTxqx1E,chinese-taipei,2,2,0,,,,,1,1,,,,6iIUFvkC-lrynQOiD.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Wn8l9q7e,1777565400,1777565400,3,3,3,Denmark W,0,0,1777577589,0,-1,,IND,h8ypIA31,Indonesia W,Indonesia W,x8ocWbH8,indonesia,0,,,3,3,,,,fkf06VRq-4dMymnaQ.png,DEN,23MJYVmr,Denmark W,Denmark W,WAbB8eP1,denmark,2,2,0,,,,,1,1,,,,OnHYizlC-xISktTT9.png,,,,,,,,,,,,
