SA,ZA,ZEE,ZB,ZC,ZD,ZE,ZF,ZH,ZJ,ZL,OAJ,ZX,ZHS,ZCC,TSS,ZAF,AA,AD,ADE,AB,CR,AC,CX,RW,AX,AO,BW,BX,WL,WN,PY,AF,FK,JB,WV,AS,AZ,GRB,CB,FV,AH,AU,BB,BD,BF,OB,WM,PX,AE,FH,JA,WU,GRA,CA,FU,CY,CC,AG,AT,BA,BC,BE,OA,AM,FL,GB,FX,FJ,GA,FW,ZO,ZG,QA,QB,QC,A1
,,,,,,,,,,,,,,,,,zgGo4cSb,1777545300,1777545300,3,3,3,Chen Y. F.,0,0,1777547445,0,-1,,WON,MaqhFckK,Wong L. C.,Wong L. C.,U1lanHZa,wong-ling-ching,1,1,0,121,Malaysia,0,0,10,10,,Q5sDRAle-CWIwz89k.png,CHE,YLiWVObR,Chen Y. F.,Chen Y. F.,dljilw5m,chen-yufei,0,52,China,52,China,2,2,21,21,,2ZM3cs7k-2DL2zz1i.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,GpX00FRN,1777551600,1777551600,3,3,5,Han Y.,0,0,1777548292,0,-1,,GOH,IqSARjsH,Goh J. W.,Goh J. W.,hCmW0Glg,goh-jin-wei,,,0,121,Malaysia,,,,,,Iy2o3skC-QcHTfNNo.png,HAN,GhmZi9WB,Han Y.,Han Y.,pnpO2xKt,han-yue,0,52,China,52,China,,,,,,AeWOAsiT-d4KHH699.png,Tie decided.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,CGIWfgko,1777554600,1777554600,3,3,5,Gunji R.,0,0,,0,-1,,KAT,xbrllpgM,Katethong S.,Katethong S.,YkkncYmI,katethong-supanida,,,0,186,Thailand,,,,,,dCU5EuiT-Qe6qEDTp.png,GUN,0hByYp6q,Gunji R.,Gunji R.,0xivafJ5,gunji-riko,0,100,Japan,100,Japan,,,,,,f7OjywVH-dIyPyOqA.png,Tie decided.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,xdsu24s0,1777565400,1777565400,3,3,3,Chiu P.,0,0,1777567687,0,-1,,AN,CChiNgrS,An S. Y.,An S. Y.,tMZUPGJM,an-se-young,2,2,0,106,South Korea,2,2,21,21,,E77d56jT-EThGTIUN.png,CHI,QgREEcn8,Chiu P.,Chiu P.,YeWMRxkA,chiu-pin-chian,0,218,Taiwan,218,Taiwan,0,0,7,8,,txAyE4gT-AVprAkir.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4rqX3QCm,1777565400,1777565400,3,3,3,Christophersen L.,0,0,1777567799,0,-1,,WAR,Wft9q7tD,Wardani P. K.,Wardani P. K.,0rYETbKc,wardani-putri-kusuma,2,2,0,228,Indonesia,2,2,21,21,,8Y49GbS0-6TjfJEjI.png,CHR,W4BwLm2t,Christophersen L.,Christophersen L.,lfRT5eSj,christophersen-line,0,63,Denmark,63,Denmark,0,0,12,15,,06KNUKjT-YRn3qYc4.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pMpm0rCC,1777568400,1777568400,3,3,3,Kjaersfeldt L. H.,0,0,1777570905,0,-1,,PRA,vwbbWLUH,Pratiwi N. K. D. A.,Pratiwi N. K. D. A.,pIO8IYBd,pratiwi-ni,1,1,0,228,Indonesia,0,0,15,16,,r7uuOVQq-bamWvFso.png,KJA,WnlV3Cq0,Kjaersfeldt L. H.,Kjaersfeldt L. H.,C4Q0Kfsp,kjaersfeldt-line-hojmark,0,63,Denmark,63,Denmark,2,2,21,21,,bm9LSqme-zeig6BPa.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,rHnsfHwS,1777482000,1777482000,3,3,3,Seo S. J.,0,0,1777483631,0,-1,,SEO,8tOH9Dn3/KArdx242,Molin M./Svensson M.,Molin M.,Iq0jaiHF,molin-mio,1,1,0,181,Sweden,0,0,3,12,,men;men,KIM,0tHi9urp/YTNGIe1l,Kim W. H./Seo S. J.,Kim W. H.,AJdr1Dn3,kim-won-ho,0,106,South Korea,106/106,South Korea,2,2,21,21,,zHMvOJjC-xxmcCuIG.png;I1wqFh5k-C2qOAStC.png,,Svensson M.,181,Sweden,Seo S. J.,106,South Korea,,,,,,
,,,,,,,,,,,,,,,,,80TNu61K,1777484400,1777484400,3,3,3,Wang Chi-Lin,0,0,1777486631,0,-1,,WAN,j7aTfdFK/hrryPuoR,Lundgaard D./Vestergaard M.,Lundgaard D.,OUAYjE65,lundgaard-daniel,1,1,0,63,Denmark,0,0,7,20,,GY0DypRq-ADDfjcmK.png;hUIGJsVH-883LHxse.png,CHI,Wb29dySE/Stzulxpr,Chiu H. C./Wang Chi-Lin,Chiu H. C.,jHCQhzxg,chiu-hsiang-chieh,0,218,Taiwan,218/218,Taiwan,2,2,21,22,,txGHKC5k-Kh0wEXJC.png;Kfk1jckC-U1CmOS3q.png,,Vestergaard M.,63,Denmark,Wang Chi-Lin,218,Taiwan,,,,,,
,,,,,,,,,,,,,,,,,E1pZ0PjC,1777487400,1777487400,3,3,3,Lee J. M.,0,0,1777488982,0,-1,,LEE,0QLyVNT8/dGaGA32p,Axelsson L./Karlborg F.,Axelsson L.,Shlo0nKa,axelsson-ludwig,1,1,0,181,Sweden,0,0,9,17,,men;men,CHO,SxXLiSbl/jez5nYcA,Cho S. H./Lee J. M.,Cho S. H.,fujw28km,cho-song-hyun,0,106,South Korea,106/106,South Korea,2,2,21,21,,men;zNgq5tS0-6P8EHLTk.png,,Karlborg F.,181,Sweden,Lee J. M.,106,South Korea,,,,,,
,,,,,,,,,,,,,,,,,MRmsa3LO,1777489200,1777489200,3,3,3,Wakefield H.,0,0,1777490717,0,-1,,WAK,tpojhGEt/21SBScoT,Daniswara A. G./Melleri A.,Daniswara A. G.,tGf1d4JO,daniswara-ananda-galvani,1,1,0,76,Finland,0,0,9,13,,men;men,HAR,p8YwYNAr/ranCx42R,Harper R./Wakefield H.,Harper R.,zJigbQlC,harper-robin,0,198,England,198/198,England,2,2,21,21,,men;men,,Melleri A.,76,Finland,Wakefield H.,198,England,,,,,,
,,,,,,,,,,,,,,,,,xvOjJ66t,1777491300,1777491300,3,3,3,Russ Z.,0,0,1777492537,0,-1,,RUS,va14oW4m/tOLTiYRJ,Melleri E./Nyqvist N.,Melleri E.,4hYIEoZh,melleri-eliel,1,1,0,76,Finland,0,0,9,10,,men;men,GRE,EsfX9uVR/fXDaDcA9,Green A./Russ Z.,Green A.,dSUAG74t,green-alex,0,198,England,198/198,England,2,2,21,21,,men;men,,Nyqvist N.,76,Finland,Russ Z.,198,England,,,,,,
,,,,,,,,,,,,,,,,,fXmJ47im,1777492200,1777492200,3,3,3,Yang Po-Hsuan,0,0,1777494679,0,-1,,YAN,COWU0ekl/UF9tAzEL,Astrup K./Christiansen M.,Astrup K.,byaEom56,astrup-kim,1,1,0,63,Denmark,0,0,22,17,,02MIswRq-t6JTO6bg.png;8pDn8XR0-MT041XsD.png,LIU,WU6xWUC8/pSIhHOOl,Liu K. H./Yang Po-Hsuan,Liu K. H.,jBe6m9zf,liu-kuang-heng,0,218,Taiwan,218/218,Taiwan,2,2,24,21,,l21miyiC-2HwwtcCU.png;hfCkUX5k-GjSCm8jj.png,,Christiansen M.,63,Denmark,Yang Po-Hsuan,218,Taiwan,,,,,,
,,,,,,,,,,,,,,,,,vNAIIdsh,1777539900,1777539900,3,3,3,Tan N.,0,0,1777544735,0,-1,,TAN,tbW0J2wQ/Ao0Yt87T,Ong X. Y./Ting C.,Ong X. Y.,AVS3FF3n,ong-xin-yee,1,1,0,121,Malaysia,1,1,14,21,13,AsqWOrVH-6HWMvxZd.png;j7FBQt86-EJVhflx2.png,LIU,YXlHiRkI/KWZL2ZYQ,Liu S. S./Tan N.,Liu S. S.,K6mfeCIU,liu-sheng-shu,0,52,China,52/52,China,2,2,21,16,21,KdjWG096-vZn8bQa0.png;txnbrCS0-Y3CykbAD.png,,Ting C.,121,Malaysia,Tan N.,52,China,,,,,,
,,,,,,,,,,,,,,,,,pKDQGzC4,1777540200,1777540200,3,3,3,Matsumoto M.,0,0,1777543032,0,-1,,MAT,CEDCMRl4/QylY9bmP,Aimsaard B./Paewsampran S.,Aimsaard B.,j9UJBX2B,aimsaard-benyapa,1,1,0,186,Thailand,0,0,20,8,,roIkCPVH-jV3mUGCf.png;lAZm2SUH-xzMhbl81.png,FUK,0GNG1veD/b3wahcwt,Fukushima Y./Matsumoto M.,Fukushima Y.,rqRBDgYb,fukushima-yuki,0,100,Japan,100/100,Japan,2,2,22,21,,ChGFNoU0-25iFJh20.png;WtkTjEoe-tdjJICH6.png,,Paewsampran S.,186,Thailand,Matsumoto M.,100,Japan,,,,,,
,,,,,,,,,,,,,,,,,IXBYEEtH,1777548600,1777548600,3,3,5,Zhang S. X.,0,0,1777548292,0,-1,,ZHA,zcF4uIu9/Srrjyp5U,Low Z. Y./Maisarah N.,Low Z. Y.,hxJc4keo,low-zi-yu,,,0,121,Malaysia,,,,,,women;women,JIA,lxKhNwPF/z3oqR3ze,Jia Y. F./Zhang S. X.,Jia Y. F.,d6XR9BXN,jia-yifan,0,52,China,52/52,China,,,,,,YLVJVIne-8hBiNnJk.png;SfJsvmjC-fmvs4Lq7.png,Tie decided.,Maisarah N.,121,Malaysia,Zhang S. X.,52,China,,,,,,
,,,,,,,,,,,,,,,,,QcFtDhBT,1777549500,1777549500,3,3,3,Nakanishi K.,0,0,1777554083,0,-1,,JON,ALRdfh66/Yceuzegk,Jongsathapornparn O./Sudjaipraparat J.,Jongsathapornparn O.,Uy1kAuq4,jongsathapornparn-ornnicha,1,1,0,186,Thailand,1,1,21,5,14,A7O3Fm7k-E7e941Ur.png;EyLukvXH-zwGL9uk8.png,SUD,Yo9RM3l4/vD9ssa0H,Igarashi A./Nakanishi K.,Igarashi A.,MBcsC1Ei,igarashi-arisa,0,100,Japan,100/100,Japan,2,2,19,21,21,nyxyKXS0-A7M8whFF.png;6a1lrA8k-YBpf89EH.png,,Sudjaipraparat J.,186,Thailand,Nakanishi K.,100,Japan,,,,,,
,,,,,,,,,,,,,,,,,hnlebMtP,1777568400,1777568400,3,3,3,Hung E-T.,0,0,1777572535,0,-1,,LEE,2HSCaQMj/fJKDE6rd,Lee S. H./Lee Y. W.,Lee S. H.,buF2vGYF,lee-so-hee,2,2,0,106,South Korea,2,2,15,21,21,0AWVtlSq-8hBiNnJk.png;WKDObQRq-0pFhE71M.png,LEE,pnIds2sn/U5U3R0ah,Hsieh P. S./Hung E-T.,Hsieh P. S.,jFBftx43,hsieh-pei-shan,0,218,Taiwan,218/218,Taiwan,1,1,21,8,17,AFjg5fSq-M3H94fM3.png;zkr63DSq-6RB3nAhU.png,,Lee Y. W.,106,South Korea,Hung E-T.,218,Taiwan,,,,,,
,,,,,,,,,,,,,,,,,nTN1A7oe,1777571400,1777571400,3,3,3,Werge M.,0,0,1777574253,0,-1,,KUS,4leyh7g0/jsxHTffB,Kusuma F. D./Puspitasari M. T.,Kusuma F. D.,2XThCC7D,kusuma-febriana-dwipuji,2,2,0,228,Indonesia,2,2,21,21,,IyWn4hT0-h0y6QEXR.png;rZD85hT0-fynMvmgb.png,PUS,SEEzFoFb/OGwq8tsB,Kudsk A. C./Werge M.,Kudsk A. C.,f7QpEYx1,kudsk-amalie-cecilie,0,63,Denmark,63/63,Denmark,0,0,19,11,,lYZjKQ7k-6DryaQcd.png;women,,Puspitasari M. T.,228,Indonesia,Werge M.,63,Denmark,,,,,,
,,,,,,,,,,,,,,,,,OjxE5w1U,1777479000,1777479000,3,3,3,Chinese T.,0,0,1777499442,0,-1,,DEN,tOMMxaiL,Denmark,Denmark,4IuwVY54,denmark,1,1,0,,,2,2,,,,vuwBtASq-Cz52VBFi.png,CHI,Ucrehfzj,Chinese T.,Chinese T.,W4sVWfyh,chinese-taipei,0,,,,,3,3,,,,WjLeDajC-YTwvSpN0.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6DjQfMnC,1777479000,1777479000,3,3,3,England,0,0,1777492907,0,-1,,FIN,Oly5WdUl,Finland,Finland,trR0myNO,finland,1,1,0,,,1,1,,,,M1ikDcT0-GntWT6hl.png,ENG,OnCRyJ6R,England,England,8UShkchC,england,0,,,,,4,4,,,,GptDv9ne-xdsSUnwr.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,GQY57aWH,1777479000,1777479000,3,3,3,South Korea,0,0,1777492292,0,-1,,SWE,ETGQdZSm,Sweden,Sweden,4bkq9iqo,sweden,1,1,0,,,0,0,,,,ALzGCEjT-4zPjvKyp.png,KOR,b1bg5XJe,South Korea,South Korea,8ElEEDLN,south-korea,0,,,,,5,5,,,,W46HBFCN-AixrR4x7.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,nwotFZfE,1777536600,1777536600,3,3,3,China W,0,0,1777547906,0,-1,,MAL,SIThQYeL,Malaysia W,Malaysia W,fRtiLY87,malaysia,1,1,0,,,0,0,,,,voIRdpQq-lrynQOiD.png,CHI,8GDiSfR8,China W,China W,lUwqNfve,china,0,,,,,3,3,,,,GbBXvrUH-AixrR4x7.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,I36d7Ny8,1777536600,1777536600,3,3,3,Japan W,0,0,1777554333,0,-1,,THA,OYWuJjle,Thailand W,Thailand W,t4zyPG9r,thailand,1,1,0,,,1,1,,,,Wt2ZjyA6-4dMymnaQ.png,JPN,ldtquYAE,Japan W,Japan W,pYl5UxnL,japan,0,,,,,3,3,,,,WrcgwbjT-4dMymnaQ.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,IP7DdRvm,1777565400,1777565400,3,3,3,Chinese T. W,0,0,1777579807,0,-1,,KOR,2m8KXrGl,South Korea W,South Korea W,foXpsGVQ,south-korea,2,2,0,,,3,3,,,,dC5St2oe-lpOlJAuM.png,CHI,MuTdPhBR,Chinese T. W,Chinese T. W,nLTxqx1E,chinese-taipei,0,,,,,1,1,,,,6iIUFvkC-lrynQOiD.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Wn8l9q7e,1777565400,1777565400,3,3,3,Denmark W,0,0,1777577589,0,-1,,IND,h8ypIA31,Indonesia W,Indonesia W,x8ocWbH8,indonesia,2,2,0,,,3,3,,,,fkf06VRq-4dMymnaQ.png,DEN,23MJYVmr,Denmark W,Denmark W,WAbB8eP1,denmark,0,,,,,1,1,,,,OnHYizlC-xISktTT9.png,,,,,,,,,,,,,
