SA,ZA,ZEE,ZB,ZC,ZD,ZE,ZF,ZH,ZJ,ZL,OAJ,ZX,ZHS,ZCC,TSS,ZAF,AA,AD,ADE,AB,CR,AC,CX,RW,AX,AO,BW,BX,WL,WM,PX,AE,FH,JA,WU,AS,AZ,GRA,CA,FU,CY,CC,AG,AT,BA,BC,BE,OA,WN,PY,AF,FK,JB,WV,GRB,CB,FV,AH,AU,BB,BD,BF,OB,FJ,GA,FW,FL,GB,FX,ZO,ZG,QA,QB,QC,A1
,,,,,,,,,,,,,,,,,8jryqP1U,1777120800,1777120800,3,3,3,Aidil S.,0,0,1777123346,0,-1,,AID,zoenwvsb,Aidil S.,Aidil S.,dx0pUwmC,aidil-sholeh,2,2,0,121,Malaysia,121,Malaysia,0,0,16,15,,buPUDxkC-25LsSXmr.png,KAY,rNHwBhFr,Kayan C.,Kayan C.,423hSHHO,kayan-cholan,0,198,England,2,2,21,21,,S8vmPS86-dUDaSyWh.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,IqK0apnB,1777126800,1777126800,3,3,3,Lee Z. J.,0,0,1777128544,0,-1,,LEE,fkHsTftd,Lee Z. J.,Lee Z. J.,fZtYve1U,lee-zii-jia,1,1,0,121,Malaysia,121,Malaysia,2,2,21,21,,GQrlYxle-ruDQA1oF.png,DAL,WpCOSawD,Dalvi N.,Dalvi N.,rVLsabnn,dalvi-nadeem,0,198,England,0,0,13,11,,xnAld9le-zeaZ8d1B.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,lvqAAm13,1777135200,1777135200,3,3,3,Naraoka K.,0,0,1777139832,0,-1,,NAR,MPtLI8G5,Naraoka K.,Naraoka K.,jFFy1p0D,naraoka-kodai,1,1,0,100,Japan,100,Japan,2,2,15,21,21,CzTPf28k-dKMlOmJF.png,OLD,hdXbT6ek,Oldorff J.,Oldorff J.,IL7NOmhK,oldorff-joakim,0,76,Finland,1,1,21,17,16,b18GZble-Ug0RtBqM.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,fmbzNlgA,1777048200,1777048200,3,3,3,Intanon R.,0,0,1777053997,0,-1,,INT,4CEwVcY9,Intanon R.,Intanon R.,jov62Xxh,intanon-ratchanok,2,2,0,186,Thailand,186,Thailand,1,1,23,14,22,2LHxJqA6-Spvaw1Sh.png,NAL,CAXA6fWO,Nalbantova K.,Nalbantova K.,OCiD0B74,nalbantova-kaloyana,0,41,Bulgaria,2,2,21,21,24,MiBJ9096-CzFpUage.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,YehEF6op,1777054500,1777054500,3,3,3,Chochuwong Po.,0,0,1777056721,0,-1,,CHO,GKVi2Jal,Chochuwong Po.,Chochuwong Po.,zZqai7Uj,chochuwong-pornpawee,1,1,0,186,Thailand,186,Thailand,2,2,21,21,,EH8fmdS0-4lWrAiWQ.png,PAV,8IStekY6,Pavlova G.,Pavlova G.,0CyoFAMc,pavlova-gergana,0,41,Bulgaria,0,0,16,6,,women,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,fDRLHEYR,1777057500,1777057500,3,3,3,Katethong S.,0,0,1777058670,0,-1,,KAT,xbrllpgM,Katethong S.,Katethong S.,WMGtO55S,katethong-supanida,1,1,0,186,Thailand,186,Thailand,2,2,21,21,,dCU5EuiT-Qe6qEDTp.png,POP,Y770quAr,Popivanova E.,Popivanova E.,257CIqTk,popivanova-elena,0,41,Bulgaria,0,0,10,4,,women,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Gx7XlxCU,1777098600,1777098600,3,3,3,Letshanaa K.,0,0,1777102644,0,-1,,LET,SOOGhpx8,Letshanaa K.,Letshanaa K.,6FLVV6Wb,karupathevan-letshanaa-a,1,1,0,121,Malaysia,121,Malaysia,2,2,21,13,21,ENalLOAN-x2ON76kE.png,ARI,p4iepFDM,Arin N.,Arin N.,EuPwUp1B,neslihan-arin,0,191,Turkey,1,1,16,21,13,QepYz6A6-2FKPPnqm.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,rBgQjbsI,1777098600,1777098600,3,3,3,Yamaguchi A.,0,0,1777100521,0,-1,,YAM,pKuBkeNb,Yamaguchi A.,Yamaguchi A.,4nmEDPGU,yamaguchi-akane,1,1,0,100,Japan,100,Japan,2,2,21,21,,EJuPK086-xIb10BZQ.png,SCH,K8Maps6a,Scholtz J.,Scholtz J.,KbNNXS1n,scholtz-johanita,0,175,South Africa,0,0,7,10,,WSVy2Y6k-hl1lRaV4.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,vFpk7JRb,1777101600,1777101600,3,3,3,Gunji R.,0,0,1777102000,0,-1,,GUN,0hByYp6q,Gunji R.,Gunji R.,prh1UECi,gunji-riko,1,1,0,100,Japan,100,Japan,2,2,21,21,,f7OjywVH-dIyPyOqA.png,LAI,SjQMR4bB,Lai C.,Lai C.,Iej9Shs4,lai-chloe,0,175,South Africa,0,0,2,2,,women,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,hxi53yRN,1777102500,1777102500,3,3,3,Akechi H.,0,0,1777103897,0,-1,,AKE,v34hwVos,Akechi H.,Akechi H.,4YJd62Q1,akechi-hina,1,1,0,100,Japan,100,Japan,2,2,21,21,,pzxRABWH-M7osNF67.png,DE,fsHzDFU8,De Villiers E.,De Villiers E.,dtMsU5I8,de-villiers-elme,0,175,South Africa,0,0,7,9,,women,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,61ns9ucn,1777103400,1777103400,3,3,3,Wong L. C.,0,0,1777107364,0,-1,,WON,MaqhFckK,Wong L. C.,Wong L. C.,ngNoSOVN,wong-ling-ching,2,2,0,121,Malaysia,121,Malaysia,1,1,17,21,18,Q5sDRAle-CWIwz89k.png,BAY,GfhF6Mu0,Bayrak O.,Bayrak O.,IyEHM2go,bayrak-ozge,0,191,Turkey,2,2,21,15,21,I7cdpliC-8zYUpi3k.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,nulc5cdB,1777108200,1777108200,3,3,3,Goh J. W.,0,0,1777109931,0,-1,,GOH,IqSARjsH,Goh J. W.,Goh J. W.,QLgHQWBG,goh-jin-wei,1,1,0,121,Malaysia,121,Malaysia,2,2,21,21,,Iy2o3skC-QcHTfNNo.png,ERD,A55Wa72M,Erdem Z.,Erdem Z.,WKLl8Oek,erdem-zehra,0,191,Turkey,0,0,14,13,,MsvqG3T0-OfW2lmDp.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,AZfXyjlm,1777111200,1777111200,3,3,3,Chiu P.,0,0,1777113560,0,-1,,CHI,QgREEcn8,Chiu P.,Chiu P.,hlDFQqPM,chiu-pin-chian,1,1,0,218,Taiwan,218,Taiwan,2,2,21,21,,txAyE4gT-AVprAkir.png,HO,88LMqKJ0,Ho T.,Ho T.,lYDpLNnp,ho-tiffany,0,24,Australia,0,0,10,9,,bNDebNlC-fLZE7NTo.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,jDdmY7mC,1777114200,1777114200,3,3,3,Lin H. T.,0,0,1777115811,0,-1,,LIN,nm24F6iE,Lin H. T.,Lin H. T.,bofpPi5F,lin-hsiang-ti,1,1,0,218,Taiwan,218,Taiwan,2,2,21,21,,jsltEule-hpoee7vH.png,HUO,URIvQnHO,Huo F.,Huo F.,4rchNVZR,huo-faye,0,24,Australia,0,0,11,11,,rm9NdBne-MqJxuqUA.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,nZv5jk3t,1777118400,1777118400,3,3,3,Sung S. Y.,0,0,1777120232,0,-1,,SUN,EuL5pktP,Sung S. Y.,Sung S. Y.,zovIwiK8,sung-shuo-yun,1,1,0,218,Taiwan,218,Taiwan,2,2,21,21,,fcPZfdPq-fNt6hxTI.png,CAR,t0DTQ2DT,Carrisia J.,Carrisia J.,8bxQyVlL,carrisia-jesslyn,0,24,Australia,0,0,12,12,,women,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Ekf2sCQP,1777119600,1777119600,3,3,3,Wardani P. K.,0,0,1777123166,0,-1,,WAR,Wft9q7tD,Wardani P. K.,Wardani P. K.,CABaURPc,wardani-putri-kusuma,2,2,0,228,Indonesia,228,Indonesia,1,1,21,11,16,8Y49GbS0-6TjfJEjI.png,LIM,OO7qHv4A,Li M.,Li M.,KzF7S5fA,li-michelle,0,47,Canada,2,2,16,21,21,SxHz6j5k-4YycYlGj.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,SCtLn725,1777127100,1777127100,3,3,3,Wiryawan T. R.,0,0,1777129225,0,-1,,WIR,j7laOl4l,Wiryawan T. R.,Wiryawan T. R.,bBPBSQB7,wiryawan-thalita,1,1,0,228,Indonesia,228,Indonesia,2,2,21,21,,women,ZHA,QN5fxYoF,Zhang W. Y.,Zhang W. Y.,QHHcjU3E,zhang-wen-yu,0,47,Canada,0,0,16,19,,jRTxpySq-UwdF6c9Q.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,x6Ip3Snn,1777132500,1777132500,3,3,3,Pratiwi N. K. D. A.,0,0,1777135990,0,-1,,PRA,vwbbWLUH,Pratiwi N. K. D. A.,Pratiwi N. K. D. A.,KEw2nL2t,pratiwi-ni,2,2,0,228,Indonesia,228,Indonesia,1,1,21,19,11,r7uuOVQq-bamWvFso.png,CHA,YasAwHwn,Chan R.,Chan R.,6VyApaXh,chan-rachel,0,47,Canada,2,2,13,21,21,Me1tZvUH-SWMLni8b.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,nyQcL4FL,1777135200,1777135200,3,3,3,Hooda U.,0,0,1777137983,0,-1,,HOO,dOi52816,Hooda U.,Hooda U.,EkUDrrqg,hooda-unnati,1,1,0,93,India,93,India,2,2,21,22,,CUiVMd7k-IRlW4IbF.png,BUH,WzGoVW3p,Buhrova P.,Buhrova P.,MFXLtMD5,buhrova-polina,0,195,Ukraine,0,0,19,20,,z7e1kcne-CbZIYzup.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,vBMkNQp9,1777137300,1777137300,3,3,3,Wang Z. Y.,0,0,1777139510,0,-1,,WAN,SvXcpLPt,Wang Z. Y.,Wang Z. Y.,QBtcQ0TO,wang-zhiyi,1,1,0,52,China,52,China,2,2,21,21,,pvpD6G7k-44UBA9iK.png,CHR,W4BwLm2t,Christophersen L.,Christophersen L.,tOG6p4Et,christophersen-line,0,63,Denmark,0,0,11,14,,06KNUKjT-YRn3qYc4.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,jXEyEM7e,1777138500,1777138500,3,3,3,Sharma T.,0,0,1777141459,0,-1,,SHA,YyRHUU6C,Sharma T.,Sharma T.,jkEocsbn,sharma-tanvi,1,1,0,93,India,93,India,2,2,21,17,21,n57YrORq-YoXahsYg.png,KAN,tlKJe1Nh,Kantemyr Y.,Kantemyr Y.,O2CgeLSb,kantemyr-yevheniia,0,195,Ukraine,1,1,12,21,10,C6wL9qme-jkbugwIc.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2D1rLSNM,1777053900,1777053900,3,3,3,Vestergaard M.,0,0,1777056835,0,-1,,KIM,j7aTfdFK/hrryPuoR,Lundgaard D./Vestergaard M.,Lundgaard D.,WxeLbkxH,lundgaard-daniel,1,1,0,63,Denmark,63/63,Denmark,2,2,21,23,,GY0DypRq-ADDfjcmK.png;hUIGJsVH-883LHxse.png,KI,YTNGIe1l/U3ucvD9A,Ki D. J./Kim W. H.,Ki D. J.,4jgTdT6T,ki-dong-ju,0,106,South Korea,0,0,18,21,,vTenKkDN-6XtjGfy7.png;zHMvOJjC-xxmcCuIG.png,Vestergaard M.,63,Denmark,Kim W. H.,106,South Korea,,,,,,
,,,,,,,,,,,,,,,,,AcNpYZI8,1777055100,1777055100,3,3,3,Fikri M. S.,0,0,1777056375,0,-1,,MAM,zFB54F9e/j5joQKiQ,Alfian F./Fikri M. S.,Alfian F.,0dikFVwe,alfian-fajar,1,1,0,228,Indonesia,228/228,Indonesia,2,2,21,21,,YHuLVzB6-YeMm9uUu.png;0MvDAuhT-MZkFYKuD.png,BEL,tzRaNggS/x8TJL6B2,Belarbi M. A./Mammeri K.,Belarbi M. A.,nDkcD987,belarbi-mohamed-abderrahime,0,18,Algeria,0,0,14,8,,SSCKQEkC-nTqqTWMr.png;men,Fikri M. S.,228,Indonesia,Mammeri K.,18,Algeria,,,,,,
,,,,,,,,,,,,,,,,,MJFWOVue,1777057500,1777057500,3,3,3,Joaquin N.,0,0,1777058415,0,-1,,OUC,xdMOi4i9/bJxbksmF,Indra R./Joaquin N.,Indra R.,Wt9vD0EO,indra-raymond,1,1,0,228,Indonesia,228/228,Indonesia,2,2,21,21,,OSuYT7le-xS9k0id7.png;fsXeYYme-pEbC9BUh.png,HAM,r3kpdJ20/YZMSJptF,Hamek A./Ouchefoun M.,Hamek A.,M5llX3at,hamek-adel,0,18,Algeria,0,0,4,7,,ABn8gpkC-A5ktNonN.png;men,Joaquin N.,228,Indonesia,Ouchefoun M.,18,Algeria,,,,,,
,,,,,,,,,,,,,,,,,I3zaAWQ1,1777062300,1777062300,3,3,3,Christiansen M.,0,0,1777066499,0,-1,,SEO,COWU0ekl/UF9tAzEL,Astrup K./Christiansen M.,Astrup K.,d02BMDoL,astrup-kim,2,2,0,63,Denmark,63/63,Denmark,1,1,17,21,21,02MIswRq-t6JTO6bg.png;8pDn8XR0-MT041XsD.png,JIN,0tHi9urp/U7hDuw8T,Jin Y./Seo S. J.,Jin Y.,SrgsHi9r,jin-yong,0,106,South Korea,2,2,21,18,23,Sjy9ie5k-EovExxWL.png;I1wqFh5k-C2qOAStC.png,Christiansen M.,63,Denmark,Seo S. J.,106,South Korea,,,,,,
,,,,,,,,,,,,,,,,,AceIhKC5,1777103700,1777103700,3,3,3,Wang Chi-Lin,0,0,1777105396,0,-1,,SVE,Wb29dySE/Stzulxpr,Chiu H. C./Wang Chi-Lin,Chiu H. C.,ldtbH7H5,chiu-hsiang-chieh,1,1,0,218,Taiwan,218/218,Taiwan,2,2,21,21,,txGHKC5k-Kh0wEXJC.png;Kfk1jckC-U1CmOS3q.png,MOL,8tOH9Dn3/KArdx242,Molin M./Svensson M.,Molin M.,dMq6FonI,molin-mio,0,181,Sweden,0,0,17,11,,men;men,Wang Chi-Lin,218,Taiwan,Svensson M.,181,Sweden,,,,,,
,,,,,,,,,,,,,,,,,GEUMLIth,1777108500,1777108500,3,3,3,Yang Po-Hsuan,0,0,1777110684,0,-1,,KAR,WU6xWUC8/pSIhHOOl,Liu K. H./Yang Po-Hsuan,Liu K. H.,82ETK1ue,liu-kuang-heng,1,1,0,218,Taiwan,218/218,Taiwan,2,2,21,21,,l21miyiC-2HwwtcCU.png;hfCkUX5k-GjSCm8jj.png,AXE,0QLyVNT8/dGaGA32p,Axelsson L./Karlborg F.,Axelsson L.,EaHyJuA7,axelsson-ludwig,0,181,Sweden,0,0,15,16,,men;men,Yang Po-Hsuan,218,Taiwan,Karlborg F.,181,Sweden,,,,,,
,,,,,,,,,,,,,,,,,KnwDlTXh,1777118100,1777118100,3,3,3,Soh W. Y.,0,0,1777120055,0,-1,,JON,4t0FZ6a2/23UWg0bb,Chia A./Soh W. Y.,Chia A.,IXNeW8Cr,chia-aaron,1,1,0,121,Malaysia,121/121,Malaysia,2,2,21,21,,nqjD1SU0-ShQLS8eS.png;G0efd65k-ShQLS8eS.png,BUT,W2s9kv4o/21Wi9fs4,Butler O./Jones S.,Butler O.,QcR3Unse,butler-oliver,0,198,England,0,0,19,13,,men;men,Soh W. Y.,121,Malaysia,Jones S.,198,England,,,,,,
,,,,,,,,,,,,,,,,,Gj4uuG0d,1777124100,1777124100,3,3,3,Tee K. W.,0,0,1777126008,0,-1,,RUS,88JFJoPD/lvBZezyO,Man W. C./Tee K. W.,Man W. C.,WYQ5gfGN,man-wei-chong,1,1,0,121,Malaysia,121/121,Malaysia,2,2,21,21,,hhBhh76k-SlbIiCmq.png;6TjSD996-W2hTmOm1.png,GRE,EsfX9uVR/fXDaDcA9,Green A./Russ Z.,Green A.,S4CylYwo,green-alex,0,198,England,0,0,14,14,,men;men,Tee K. W.,121,Malaysia,Russ Z.,198,England,,,,,,
,,,,,,,,,,,,,,,,,QeIiChdk,1777059300,1777059300,3,3,3,Paewsampran S.,0,0,1777062396,0,-1,,STO,CEDCMRl4/QylY9bmP,Aimsaard B./Paewsampran S.,Aimsaard B.,fDPJGNc2,aimsaard-benyapa,2,2,0,186,Thailand,186/186,Thailand,1,1,11,21,9,roIkCPVH-jV3mUGCf.png;lAZm2SUH-xzMhbl81.png,STO,6TzzmHT3/KfsLJ9Lu,Stoeva G./Stoeva S.,Stoeva G.,lza3OZG8,stoeva-gabriela,0,41,Bulgaria,2,2,21,15,21,C0YPzghT-CrqF4cEU.png;lf1Nhele-CrqF4cEU.png,Paewsampran S.,186,Thailand,Stoeva S.,41,Bulgaria,,,,,,
,,,,,,,,,,,,,,,,,l6HOQiBr,1777063200,1777063200,3,3,3,Sudjaipraparat J.,0,0,1777064503,0,-1,,POP,ALRdfh66/Yceuzegk,Jongsathapornparn O./Sudjaipraparat J.,Jongsathapornparn O.,hW7OGrFa,jongsathapornparn-ornnicha,1,1,0,186,Thailand,186/186,Thailand,2,2,21,21,,A7O3Fm7k-E7e941Ur.png;EyLukvXH-zwGL9uk8.png,POP,vuNerfjj/Y770quAr,Popivanova E./Popivanova T.,Popivanova E.,bTAWEMqC,popivanova-elena,0,41,Bulgaria,0,0,4,6,,women;women,Sudjaipraparat J.,186,Thailand,Popivanova T.,41,Bulgaria,,,,,,
,,,,,,,,,,,,,,,,,dhWxIztH,1777104600,1777104600,3,3,3,Nakanishi K.,0,0,1777105770,0,-1,,SCH,Yo9RM3l4/hjUjTtcl,Iwanaga R./Nakanishi K.,Iwanaga R.,p2b1Z0fl,iwanaga-rin,1,1,0,100,Japan,100/100,Japan,2,2,21,21,,dOtsjZiT-xj6MtOys.png;6a1lrA8k-YBpf89EH.png,ACK,K8Maps6a/p84bXKGR,Ackerman A./Scholtz J.,Ackerman A.,IFd9XvP0,ackerman-amy,0,175,South Africa,0,0,8,4,,women;WSVy2Y6k-hl1lRaV4.png,Nakanishi K.,100,Japan,Scholtz J.,175,South Africa,,,,,,
,,,,,,,,,,,,,,,,,6o82YeQc,1777106400,1777106400,3,3,3,Igarashi A.,0,0,1777107633,0,-1,,SCH,vD9ssa0H/b3wahcwt,Fukushima Y./Igarashi A.,Fukushima Y.,StflpI86,fukushima-yuki,1,1,0,100,Japan,100/100,Japan,2,2,21,21,,ChGFNoU0-25iFJh20.png;nyxyKXS0-A7M8whFF.png,DE,r94DQXfP/fsHzDFU8,De Villiers E./Schoonees A.,De Villiers E.,0fhdrdwJ,de-villiers-elme,0,175,South Africa,0,0,5,6,,women;women,Igarashi A.,100,Japan,Schoonees A.,175,South Africa,,,,,,
,,,,,,,,,,,,,,,,,OvYUJdB4,1777110600,1777110600,3,3,3,Muralitharan T.,0,0,1777114758,0,-1,,INC,KGCWADjm/Ao0Yt87T,Ong X. Y./Muralitharan T.,Ong X. Y.,6g4Ntq2E,ong-xin-yee,2,2,0,121,Malaysia,121/121,Malaysia,1,1,22,19,19,AsqWOrVH-6HWMvxZd.png;AwicOOkC-jLI7QBOs.png,ERC,CQyxNucE/A7Id6ieH,Ercetin B./Inci N.,Ercetin B.,EJ7VvNWQ,ercetin-bengisu,0,191,Turkey,2,2,20,21,21,women;women,Muralitharan T.,121,Malaysia,Inci N.,191,Turkey,,,,,,
,,,,,,,,,,,,,,,,,EiLGAhYj,1777115700,1777115700,3,3,3,Maisarah N.,0,0,1777118167,0,-1,,ERD,zcF4uIu9/Srrjyp5U,Low Z. Y./Maisarah N.,Low Z. Y.,S8YYm09s,low-zi-yu,1,1,0,121,Malaysia,121/121,Malaysia,2,2,21,21,,women;women,BEK,A55Wa72M/8tLxj8Rb,Bektas Y./Erdem Z.,Bektas Y.,zZysnvvf,bektas-yasemen,0,191,Turkey,0,0,18,19,,women;MsvqG3T0-OfW2lmDp.png,Maisarah N.,121,Malaysia,Erdem Z.,191,Turkey,,,,,,
,,,,,,,,,,,,,,,,,zwpTpoXH,1777116600,1777116600,3,3,3,Lin J. Y.,0,0,1777118004,0,-1,,YU,AVIASHpr/bN2voBjF,Hsu Y. H./Lin J. Y.,Hsu Y. H.,GbbUXLmm,hsu-yin-hui,1,1,0,218,Taiwan,218/218,Taiwan,2,2,21,21,,f1L1iKne-xrbb8jmU.png;hjSzz0me-ATi6eHSh.png,SOM,ttQJjff1/Qk5dd7Ph,Somerville G./Yu A.,Somerville G.,lCdxWaIa,somerville-gronya,0,24,Australia,0,0,17,13,,4d6wgvlC-StMaTSB5.png;G6K6FD6k-YmScE9Z3.png,Lin J. Y.,218,Taiwan,Yu A.,24,Australia,,,,,,
,,,,,,,,,,,,,,,,,pWLh16Hb,1777120800,1777120800,3,3,3,Sung Y.,0,0,1777122568,0,-1,,TJO,AThsuUHu/AajsDvOE,Hsu Y. C./Sung Y.,Hsu Y. C.,EeuIrw25,hsu-ya-ching,1,1,0,218,Taiwan,218/218,Taiwan,2,2,21,21,,zBDKRqjT-vkXBCRp3.png;04NfFoUH-tKxOvxeM.png,HUO,6BjmfIs5/URIvQnHO,Huo F./Tjonadi V.,Huo F.,n9wQtHWH,huo-faye,0,24,Australia,0,0,5,7,,rm9NdBne-MqJxuqUA.png;h2jidT7k-U7PZ4zKm.png,Sung Y.,218,Taiwan,Tjonadi V.,24,Australia,,,,,,
,,,,,,,,,,,,,,,,,bw0eWoIO,1777123800,1777123800,3,3,3,Puspitasari M. T.,0,0,1777126298,0,-1,,LAI,4leyh7g0/jsxHTffB,Kusuma F. D./Puspitasari M. T.,Kusuma F. D.,0ErOH9ck,kusuma-febriana-dwipuji,1,1,0,228,Indonesia,228/228,Indonesia,2,2,23,21,,IyWn4hT0-h0y6QEXR.png;rZD85hT0-fynMvmgb.png,DEN,Y9VV9pP4/0hlFHs2F,Dent J./Lai C.,Dent J.,8vnWFmS1,dent-jackie,0,47,Canada,0,0,21,10,,8d1iyMle-AwmpTnjE.png;fLXkh1AN-dvDJI3dn.png,Puspitasari M. T.,228,Indonesia,Lai C.,47,Canada,,,,,,
