SA,ZA,ZEE,ZB,ZC,ZD,ZE,ZF,ZH,ZJ,ZL,OAJ,ZX,ZHS,ZCC,TSS,ZAF,AA,AD,ADE,AB,CR,AC,CX,RW,AX,AO,BW,BX,WL,WM,PX,AE,FH,JA,WU,AS,AZ,GRA,CA,FU,CY,CC,AG,AT,BA,BC,OA,WN,PY,AF,FK,JB,WV,GRB,CB,FV,AH,AU,BB,BD,OB,BE,BF,FJ,GA,FW,FL,GB,FX,ZO,ZG,QA,QB,QC,A1
,,,,,,,,,,,,,,,,,hWiBFQUG,1777290900,1777290900,3,3,3,Watanabe K.,0,0,1777293761,0,-1,,WAT,2N8B4tBf,Watanabe K.,Watanabe K.,rLpUz8Ea,watanabe-koki,1,1,0,100,Japan,100,Japan,2,2,21,21,pfzbDr96-2ZO7QzA8.png,KAY,rNHwBhFr,Kayan C.,Kayan C.,jolxZoqC,kayan-cholan,0,198,England,0,0,18,10,S8vmPS86-dUDaSyWh.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OIErcIEk,1777291200,1777291200,3,3,3,Lee Z. J.,0,0,1777293169,0,-1,,LEE,fkHsTftd,Lee Z. J.,Lee Z. J.,ObnpXPDO,lee-zii-jia,1,1,0,121,Malaysia,121,Malaysia,2,2,21,21,GQrlYxle-ruDQA1oF.png,DAN,21SBScoT,Daniswara A. G.,Daniswara A. G.,ENRgiTbt,daniswara-ananda-galvani,0,76,Finland,0,0,19,10,men,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,nZdO9ebe,1777297200,1777297200,3,3,3,Okimoto Y.,0,0,1777299360,0,-1,,OKI,I39T9L5e,Okimoto Y.,Okimoto Y.,8OFShtzo,okimoto-yudai,1,1,0,100,Japan,100,Japan,2,2,21,21,xlsq3DPq-UJu5jGJe.png,DAL,WpCOSawD,Dalvi N.,Dalvi N.,Y17EGqSi,dalvi-nadeem,0,198,England,0,0,12,4,xnAld9le-zeaZ8d1B.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,I15LV9Nb,1777221000,1777221000,3,3,3,Chiu P.,0,0,1777224037,0,-1,,CHI,QgREEcn8,Chiu P.,Chiu P.,dEJZbcif,chiu-pin-chian,2,2,0,218,Taiwan,218,Taiwan,0,0,12,17,txAyE4gT-AVprAkir.png,LIM,OO7qHv4A,Li M.,Li M.,2BMscyM6,li-michelle,0,47,Canada,2,2,21,21,SxHz6j5k-4YycYlGj.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,rVT89J6d,1777221000,1777221000,3,3,3,Wardani P. K.,0,0,1777223375,0,-1,,WAR,Wft9q7tD,Wardani P. K.,Wardani P. K.,vgFM9E5C,wardani-putri-kusuma,1,1,0,228,Indonesia,228,Indonesia,2,2,21,21,8Y49GbS0-6TjfJEjI.png,HO,88LMqKJ0,Ho T.,Ho T.,phsfi6ko,ho-tiffany,0,24,Australia,0,0,5,10,bNDebNlC-fLZE7NTo.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,z35lvIbs,1777222500,1777222500,3,3,3,Akechi H.,0,0,1777224256,0,-1,,AKE,v34hwVos,Akechi H.,Akechi H.,QH9D4e34,akechi-hina,1,1,0,100,Japan,100,Japan,2,2,21,21,pzxRABWH-M7osNF67.png,ERD,A55Wa72M,Erdem Z.,Erdem Z.,WECL2ZXG,erdem-zehra,0,191,Turkey,0,0,11,10,MsvqG3T0-OfW2lmDp.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,AyMfXMb3,1777224000,1777224000,3,3,3,Wiryawan T. R.,0,0,1777225771,0,-1,,WIR,j7laOl4l,Wiryawan T. R.,Wiryawan T. R.,xnUuF9sh,wiryawan-thalita,1,1,0,228,Indonesia,228,Indonesia,2,2,21,21,women,HUO,URIvQnHO,Huo F.,Huo F.,pCXmDmC4,huo-faye,0,24,Australia,0,0,11,14,rm9NdBne-MqJxuqUA.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,rkK2V0TF,1777226100,1777226100,3,3,3,Wardoyo E. N. T.,0,0,1777227951,0,-1,,WAR,C6hchcQt,Wardoyo E. N. T.,Wardoyo E. N. T.,j9zdBRtH,wardoyo-ester-nurumi-tri,1,1,0,228,Indonesia,228,Indonesia,2,2,21,21,WrIZQyne-viGlTsu9.png,CAR,t0DTQ2DT,Carrisia J.,Carrisia J.,OMY395BT,carrisia-jesslyn,0,24,Australia,0,0,14,5,women,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,QR8TTmhB,1777226700,1777226700,3,3,3,Lin H. T.,0,0,1777230817,0,-1,,LIN,nm24F6iE,Lin H. T.,Lin H. T.,zPKkeFjJ,lin-hsiang-ti,1,1,0,218,Taiwan,218,Taiwan,2,2,19,21,jsltEule-hpoee7vH.png,ZHA,QN5fxYoF,Zhang W. Y.,Zhang W. Y.,2VCyJIrQ,zhang-wen-yu,0,47,Canada,1,1,21,11,jRTxpySq-UwdF6c9Q.png,21,18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,dEV0Buxp,1777236000,1777236000,3,3,3,Huang Y-H.,0,0,1777238198,0,-1,,HUA,4Kv6XGa1,Huang Y-H.,Huang Y-H.,YD37Dd6m,huang-yu-hsun,1,1,0,218,Taiwan,218,Taiwan,2,2,21,21,txvej5WH-Cbcpa4F9.png,CHA,YasAwHwn,Chan R.,Chan R.,6R1FBzy0,chan-rachel,0,47,Canada,0,0,17,15,Me1tZvUH-SWMLni8b.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Sj30NaA4,1777294800,1777294800,3,3,3,Yamaguchi A.,0,0,1777297260,0,-1,,YAM,pKuBkeNb,Yamaguchi A.,Yamaguchi A.,6LMtKlb3,yamaguchi-akane,1,1,0,100,Japan,100,Japan,2,2,21,21,EJuPK086-xIb10BZQ.png,LET,SOOGhpx8,Letshanaa K.,Letshanaa K.,EoQlISSF,karupathevan-letshanaa-a,0,121,Malaysia,0,0,19,17,ENalLOAN-x2ON76kE.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2VOQU2ZR,1777300500,1777300500,3,3,3,Miyazaki T.,0,0,1777303376,0,-1,,MIY,Eq6xmXhj,Miyazaki T.,Miyazaki T.,txt0YazB,miyazaki-tomoka,1,1,0,100,Japan,100,Japan,2,2,21,21,IH730XA6-tKI60nSs.png,WON,MaqhFckK,Wong L. C.,Wong L. C.,Ekv8Ww5N,wong-ling-ching,0,121,Malaysia,0,0,16,13,Q5sDRAle-CWIwz89k.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,8lmSMtA5,1777308000,1777308000,3,3,3,Arin N.,0,0,1777309816,0,-1,,ARI,p4iepFDM,Arin N.,Arin N.,pIM5enak,neslihan-arin,1,1,0,191,Turkey,191,Turkey,2,2,21,21,QepYz6A6-2FKPPnqm.png,SCH,K8Maps6a,Scholtz J.,Scholtz J.,hrQDgQT1,scholtz-johanita,0,175,South Africa,0,0,12,14,WSVy2Y6k-hl1lRaV4.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,SAoCQOAt,1777308000,1777308000,3,3,3,Christophersen L.,0,0,1777311552,0,-1,,CHR,W4BwLm2t,Christophersen L.,Christophersen L.,ninXgZNp,christophersen-line,2,2,0,63,Denmark,63,Denmark,1,1,21,19,06KNUKjT-YRn3qYc4.png,BUH,WzGoVW3p,Buhrova P.,Buhrova P.,EcvJHxGi,buhrova-polina,0,195,Ukraine,2,2,12,21,z7e1kcne-CbZIYzup.png,15,21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6RD4NKR1,1777308300,1777308300,3,3,8,Gunji R.,0,0,1777310233,0,-1,,GUN,0hByYp6q,Gunji R.,Gunji R.,phLXnak4,gunji-riko,1,1,0,100,Japan,100,Japan,0,0,19,4,f7OjywVH-dIyPyOqA.png,GOH,IqSARjsH,Goh J. W.,Goh J. W.,IJYvowKG,goh-jin-wei,0,121,Malaysia,1,1,21,3,Iy2o3skC-QcHTfNNo.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,IsPiw2fn,1777310400,1777310400,3,3,3,Bayrak O.,0,0,1777311663,0,-1,,BAY,GfhF6Mu0,Bayrak O.,Bayrak O.,rF3g63D7,bayrak-ozge,1,1,0,191,Turkey,191,Turkey,2,2,21,21,I7cdpliC-8zYUpi3k.png,LAI,SjQMR4bB,Lai C.,Lai C.,8heuU65E,lai-chloe,0,175,South Africa,0,0,4,10,women,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0OqKO2ug,1777311600,1777311600,3,3,3,Wang Z. Y.,0,0,1777316344,0,-1,,WAN,SvXcpLPt,Wang Z. Y.,Wang Z. Y.,65dQFGp4,wang-zhiyi,1,1,0,52,China,52,China,2,2,21,19,pvpD6G7k-44UBA9iK.png,SIN,OMpDMFQq,Sindhu P. V.,Sindhu P. V.,vJfYDfFG,sindhu-pusarla-venkata,0,93,India,1,1,16,21,GYD8Kw8k-lEgfKzSE.png,21,19,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,lSlrJb9U,1777312200,1777312200,3,3,3,Kjaersfeldt L. H.,0,0,1777314010,0,-1,,KJA,WnlV3Cq0,Kjaersfeldt L. H.,Kjaersfeldt L. H.,2y2wAoEr,kjaersfeldt-line-hojmark,1,1,0,63,Denmark,63,Denmark,2,2,21,21,bm9LSqme-zeig6BPa.png,LAV,CY9ys7Qi,Lavrova S.,Lavrova S.,zk0o8Pre,lavrova-sofiia,0,195,Ukraine,0,0,10,9,EuBLLk86-Kj7BqpFA.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,zLAulJ84,1777312500,1777312500,3,3,3,Erdem Z.,0,0,1777313549,0,-1,,ERD,A55Wa72M,Erdem Z.,Erdem Z.,QVMVm1dm,erdem-zehra,1,1,0,191,Turkey,191,Turkey,2,2,21,21,MsvqG3T0-OfW2lmDp.png,DE,fsHzDFU8,De Villiers E.,De Villiers E.,YeQwnuRa,de-villiers-elme,0,175,South Africa,0,0,10,4,women,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,dfP06gfm,1777228800,1777228800,3,3,3,Rasmussen A. S.,0,0,1777230283,0,-1,,HAN,65tr1ATI/UF9tAzEL,Astrup K./Rasmussen A. S.,Astrup K.,xlgUQCuB,astrup-kim,1,1,0,63,Denmark,63/63,Denmark,2,2,21,21,02MIswRq-t6JTO6bg.png;lSAqOjiT-KdIXNQDa.png,BOR,tUDfHfxF/UkdYDuOT,Borgstedt J./Hansson J.,Borgstedt J.,A1ixPjAN,borgstedt-jesper,0,181,Sweden,0,0,10,8,men;men,,,Rasmussen A. S.,63,Denmark,Hansson J.,181,Sweden,,,,,,
,,,,,,,,,,,,,,,,,4KS84XOa,1777233600,1777233600,3,3,3,Vestergaard M.,0,0,1777235837,0,-1,,KAR,j7aTfdFK/hrryPuoR,Lundgaard D./Vestergaard M.,Lundgaard D.,tpr8JUXp,lundgaard-daniel,2,2,0,63,Denmark,63/63,Denmark,0,0,12,14,GY0DypRq-ADDfjcmK.png;hUIGJsVH-883LHxse.png,AXE,0QLyVNT8/dGaGA32p,Axelsson L./Karlborg F.,Axelsson L.,6NZgsYPi,axelsson-ludwig,0,181,Sweden,2,2,21,21,men;men,,,Vestergaard M.,63,Denmark,Karlborg F.,181,Sweden,,,,,,
,,,,,,,,,,,,,,,,,Orh4wvWb,1777272600,1777272600,3,3,3,Wang C.,0,0,1777274506,0,-1,,LIN,8dcJoN2g/f9kSGCOt,Liang W. K./Wang C.,Liang W. K.,WC5uiNW0,liang-weikeng,1,1,0,52,China,52/52,China,2,2,24,21,WAW88lU0-4WdJHy4U.png;8tuw46kC-dYDdR5PH.png,LEE,Gl7l4fIe/nDNrScA2,Lee K./Lindeman T. A.,Lee K.,4Q3mk11D,lee-kevin,0,47,Canada,0,0,22,14,S2FohkjC-phqFURoB.png;men,,,Wang C.,52,China,Lindeman T. A.,47,Canada,,,,,,
,,,,,,,,,,,,,,,,,W8eCyI0B,1777275600,1777275600,3,3,3,Wang Chi-Lin,0,0,1777278857,0,-1,,SEO,Wb29dySE/Stzulxpr,Chiu H. C./Wang Chi-Lin,Chiu H. C.,U5KbdI8t,chiu-hsiang-chieh,1,1,0,218,Taiwan,218/218,Taiwan,2,2,21,15,txGHKC5k-Kh0wEXJC.png;Kfk1jckC-U1CmOS3q.png,JIN,0tHi9urp/U7hDuw8T,Jin Y./Seo S. J.,Jin Y.,z3N6fdwg,jin-yong,0,106,South Korea,1,1,16,21,Sjy9ie5k-EovExxWL.png;I1wqFh5k-C2qOAStC.png,21,11,Wang Chi-Lin,218,Taiwan,Seo S. J.,106,South Korea,,,,,,
,,,,,,,,,,,,,,,,,ALLiHmFd,1777277100,1777277100,3,3,3,Shetty C.,0,0,1777279225,0,-1,,YU,CAJx80JB/jZgbSKMc,Rankireddy S./Shetty C.,Rankireddy S.,O6SUlh7U,rankireddy-satwiksairaj,1,1,0,93,India,93/93,India,2,2,21,21,IRAUf6hT-htRD8g3k.png;EHUPyCT0-bNqTtxEr.png,HID,tvyfGXsN/QTkMzUL3,Hidayat R./Yu J.,Hidayat R.,vJ2v9ehn,hidayat-rizky,0,24,Australia,0,0,14,16,men;Uim49a96-Snys56O2.png,,,Shetty C.,93,India,Yu J.,24,Australia,,,,,,
,,,,,,,,,,,,,,,,,bPdiLHXR,1777278900,1777278900,3,3,3,Ren X. Y.,0,0,1777280387,0,-1,,LEU,YLm7bpgo/6VVhSMA6,He J. T./Ren X. Y.,He J. T.,lp0JLYyh,he-jiting,1,1,0,52,China,52/52,China,2,2,21,21,men;men,DER,4zSpce1C/pMRq222S,Deraj K. M./Leung D.,Deraj K. M.,McbRJC64,deraj-kiren-milan,0,47,Canada,0,0,15,9,men;men,,,Ren X. Y.,52,China,Leung D.,47,Canada,,,,,,
,,,,,,,,,,,,,,,,,hInfUfAr,1777282500,1777282500,3,3,3,M.R. Arjun,0,0,1777283916,0,-1,,STE,QDTrp4kH/SvAzxdEi,Amsakarunan H./M.R. Arjun,Amsakarunan H.,lULvok53,amsakarunan-hariharan,1,1,0,93,India,93/93,India,2,2,21,21,rZ37Z7gT-jXQ8Zy5s.png;men,RAM,A5ATslhr/SppAbsft,Ramadiansyah A./Stephen Sam E.,Ramadiansyah A.,dfPnqTZF,ramadiansyah-andika,0,24,Australia,0,0,12,10,men;2yKzxiUH-O8HlFT4C.png,,,M.R. Arjun,93,India,Stephen Sam E.,24,Australia,,,,,,
,,,,,,,,,,,,,,,,,U7mNFeek,1777284600,1777284600,3,3,3,Yang Po-Hsuan,0,0,1777288241,0,-1,,KIM,WU6xWUC8/M1251Nx0,Lee J-H./Yang Po-Hsuan,Lee J-H.,UN1ZHjyH,lee-jhe-huei,2,2,0,218,Taiwan,218/218,Taiwan,1,1,22,18,z1EOoqme-txhXpKhM.png;hfCkUX5k-GjSCm8jj.png,CHO,YTNGIe1l/jez5nYcA,Cho S. H./Kim W. H.,Cho S. H.,xl5sGU5T,cho-song-hyun,0,106,South Korea,2,2,20,21,men;zHMvOJjC-xxmcCuIG.png,19,21,Yang Po-Hsuan,218,Taiwan,Kim W. H.,106,South Korea,,,,,,
,,,,,,,,,,,,,,,,,KneW7ZS7,1777287600,1777287600,3,3,3,Nishi H.,0,0,1777290358,0,-1,,JON,MZVx75C8/UJJuskqc,Kumagai K./Nishi H.,Kumagai K.,6F5MENd4,kumagai-kakeru,1,1,0,100,Japan,100/100,Japan,2,2,10,21,bc4UHE86-2D91Utsr.png;zNuW38kC-CY1QlQNQ.png,BUT,W2s9kv4o/21Wi9fs4,Butler O./Jones S.,Butler O.,Eu9UC1RG,butler-oliver,0,198,England,1,1,21,15,men;men,21,12,Nishi H.,100,Japan,Jones S.,198,England,,,,,,
,,,,,,,,,,,,,,,,,fJjQTGkR,1777293900,1777293900,3,3,3,Izzuddin N.,0,0,1777294970,0,-1,,NYQ,IHXYEMGt/O2O10jHG,Goh S. F./Izzuddin N.,Goh S. F.,OYpfTMBc,goh-sze-fei,1,1,0,121,Malaysia,121/121,Malaysia,2,2,21,21,SlbIN38k-v1mon7SE.png;Qo3yAQlC-0ItuEAoj.png,MEL,va14oW4m/tOLTiYRJ,Melleri E./Nyqvist N.,Melleri E.,Wbl2R0tA,melleri-eliel,0,76,Finland,0,0,12,15,men;men,,,Izzuddin N.,121,Malaysia,Nyqvist N.,76,Finland,,,,,,
,,,,,,,,,,,,,,,,,ngmIVxLE,1777294200,1777294200,3,3,3,Shimogami Y.,0,0,1777296568,0,-1,,RUS,6eDXcNYO/CptNvkKs,Nomura T./Shimogami Y.,Nomura T.,M5CxBudT,nomura-takumi,1,1,0,100,Japan,100/100,Japan,2,2,21,21,buaoVuRq-StSq66bs.png;ljuvVpDN-xffUBlhk.png,GRE,EsfX9uVR/fXDaDcA9,Green A./Russ Z.,Green A.,Iyb85JJj,green-alex,0,198,England,0,0,14,15,men;men,,,Shimogami Y.,100,Japan,Russ Z.,198,England,,,,,,
,,,,,,,,,,,,,,,,,jkxdOfDl,1777295700,1777295700,3,3,3,Tee K. W.,0,0,1777297062,0,-1,,MEL,88JFJoPD/4t0FZ6a2,Soh W. Y./Tee K. W.,Soh W. Y.,2oBZ8hQr,soh-wooi-yik,1,1,0,121,Malaysia,121/121,Malaysia,2,2,21,21,G0efd65k-ShQLS8eS.png;6TjSD996-W2hTmOm1.png,DAN,tpojhGEt/21SBScoT,Daniswara A. G./Melleri A.,Daniswara A. G.,ABEs7Wfe,daniswara-ananda-galvani,0,76,Finland,0,0,7,14,men;men,,,Tee K. W.,121,Malaysia,Melleri A.,76,Finland,,,,,,
,,,,,,,,,,,,,,,,,EXdbdHKP,1777220400,1777220400,3,3,3,Matsumoto M.,0,0,1777221784,0,-1,,YIL,0GNG1veD/vD9ssa0H,Igarashi A./Matsumoto M.,Igarashi A.,Chfv8U9d,igarashi-arisa,1,1,0,100,Japan,100/100,Japan,2,2,21,21,nyxyKXS0-A7M8whFF.png;WtkTjEoe-tdjJICH6.png,OZY,2B9guLRj/QohmrQrh,Ozyigit I. E./Yildiz S.,Ozyigit I. E.,vanQVX13,ozyigit-ikra-elif,0,191,Turkey,0,0,6,7,women;women,,,Matsumoto M.,100,Japan,Yildiz S.,191,Turkey,,,,,,
,,,,,,,,,,,,,,,,,Ae8DxIzq,1777224600,1777224600,3,3,3,Hung E-T.,0,0,1777226261,0,-1,,ZHA,pnIds2sn/U5U3R0ah,Hsieh P. S./Hung E-T.,Hsieh P. S.,IuhhD8T1,hsieh-pei-shan,1,1,0,218,Taiwan,218/218,Taiwan,2,2,21,21,AFjg5fSq-M3H94fM3.png;zkr63DSq-6RB3nAhU.png,WU,I17Rijdl/f9mzAmjk,Wu J./Zhang E.,Wu J.,AZvvyCL8,wu-josephine,0,47,Canada,0,0,8,12,xI4BLVne-b7NQfNpb.png;CCYmXqDN-d8IhtbHi.png,,,Hung E-T.,218,Taiwan,Zhang E.,47,Canada,,,,,,
,,,,,,,,,,,,,,,,,4xATYZZ7,1777228500,1777228500,3,3,3,Ramadhanti S. F. S.,0,0,1777231694,0,-1,,YU,xMMfdJ0q/M3Xgakqj,Pratiwi A. C./Ramadhanti S. F. S.,Pratiwi A. C.,0nSPR7re,pratiwi-amalia-cahaya,1,1,0,228,Indonesia,228/228,Indonesia,2,2,19,21,8MKaSZUH-E7cObKTt.png;h6ILtSlC-Y34kI6XT.png,SOM,ttQJjff1/Qk5dd7Ph,Somerville G./Yu A.,Somerville G.,8CVXPoD7,somerville-gronya,0,24,Australia,1,1,21,8,4d6wgvlC-StMaTSB5.png;G6K6FD6k-YmScE9Z3.png,21,11,Ramadhanti S. F. S.,228,Indonesia,Yu A.,24,Australia,,,,,,
