SA,ZA,ZEE,ZB,ZC,ZD,ZE,ZF,ZH,ZJ,ZL,OAJ,ZX,ZHS,ZCC,TSS,ZAF,AA,AD,ADE,AB,CR,AC,CX,RW,AX,AO,BW,BX,WL,WM,PX,AE,FH,JA,WU,GRA,CA,FU,CY,CC,AG,AT,BA,BC,OA,WN,PY,AF,FK,JB,WV,AS,AZ,GRB,CB,FV,AH,AU,BB,BD,OB,BE,BF,FJ,GA,FW,FL,GB,FX,ZO,ZG,QA,QB,QC,A1
,,,,,,,,,,,,,,,,,lSlrJb9U,1777312200,1777312200,3,3,3,Kjaersfeldt L. H.,0,0,1777314010,0,-1,,KJA,WnlV3Cq0,Kjaersfeldt L. H.,Kjaersfeldt L. H.,2y2wAoEr,kjaersfeldt-line-hojmark,0,63,Denmark,63,Denmark,2,2,21,21,bm9LSqme-zeig6BPa.png,LAV,CY9ys7Qi,Lavrova S.,Lavrova S.,zk0o8Pre,lavrova-sofiia,1,1,0,195,Ukraine,0,0,10,9,EuBLLk86-Kj7BqpFA.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,zLAulJ84,1777312500,1777312500,3,3,3,Erdem Z.,0,0,1777313549,0,-1,,ERD,A55Wa72M,Erdem Z.,Erdem Z.,QVMVm1dm,erdem-zehra,0,191,Turkey,191,Turkey,2,2,21,21,MsvqG3T0-OfW2lmDp.png,DE,fsHzDFU8,De Villiers E.,De Villiers E.,YeQwnuRa,de-villiers-elme,1,1,0,175,South Africa,0,0,10,4,women,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,bLQ7ZJgB,1777314600,1777314600,3,3,3,Schulz A.,0,0,1777316084,0,-1,,SCH,CMuYWqA2,Schulz A.,Schulz A.,KEmRK2S0,schulz-amalie,0,63,Denmark,63,Denmark,2,2,21,21,8dT2ddA6-bJN9qHoj.png,STO,EZgUkyjn,Stoliarenko M.,Stoliarenko M.,hSoZItcD,stoliarenko-mariia,1,1,0,195,Ukraine,0,0,12,4,EyoRlERq-Eyw7qe2n.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6oUFXcON,1777319700,1777319700,3,3,3,Chen Y. F.,0,0,1777322154,0,-1,,CHE,YLiWVObR,Chen Y. F.,Chen Y. F.,pzlKtpkK,chen-yufei,0,52,China,52,China,2,2,22,21,2ZM3cs7k-2DL2zz1i.png,BAR,joi91SGC,Baruah I.,Baruah I.,GIvjyOCs,baruah-isharani,1,1,0,93,India,0,0,20,13,jwlQsXTH-Gdm4rNFc.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Mee6ihFd,1777326900,1777326900,3,3,3,Xu W. J.,0,0,1777330392,0,-1,,XU,vTrDWCwh,Xu W. J.,Xu W. J.,4dvxf9sR,xu-wen-jing,0,52,China,52,China,2,2,19,21,fiSrKVRq-W8Hfljut.png,SIH,EaOVITom,Sihag D.,Sihag D.,zuV7lm5l,sihag-devika,1,1,0,93,India,1,1,21,17,CIyQx5UH-67ywQFkI.png,21,10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2JxmwaSr,1777363800,1777363800,3,3,3,Chiu P.,0,0,1777366993,0,-1,,CHI,QgREEcn8,Chiu P.,Chiu P.,Eo0qvWWA,chiu-pin-chian,0,218,Taiwan,218,Taiwan,0,0,17,17,txAyE4gT-AVprAkir.png,WAR,Wft9q7tD,Wardani P. K.,Wardani P. K.,MB3ixA1N,wardani-putri-kusuma,2,2,0,228,Indonesia,2,2,21,21,8Y49GbS0-6TjfJEjI.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,tUw3ZGR7,1777363800,1777363800,3,3,8,Li M.,0,0,1777365071,0,-1,,LIM,OO7qHv4A,Li M.,Li M.,xdaGhVo4,li-michelle,0,47,Canada,47,Canada,1,1,21,7,SxHz6j5k-4YycYlGj.png,HO,88LMqKJ0,Ho T.,Ho T.,A9cOj9GG,ho-tiffany,1,1,0,24,Australia,0,0,6,3,bNDebNlC-fLZE7NTo.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,8Gueywce,1777363800,1777363800,3,3,3,Nalbantova K.,0,0,1777366124,0,-1,,NAL,CAXA6fWO,Nalbantova K.,Nalbantova K.,IskNWmPp,nalbantova-kaloyana,0,41,Bulgaria,41,Bulgaria,2,2,21,21,MiBJ9096-CzFpUage.png,AZU,IN25j9xb,Azurmendi C.,Azurmendi C.,pls9fiHi,azurmendi-clara,1,1,0,176,Spain,0,0,14,15,A7WGLtjT-zcn5BT2G.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2yKNbXfJ,1777366500,1777366500,3,3,3,Chan R.,0,0,1777367553,0,-1,,CHA,YasAwHwn,Chan R.,Chan R.,dMPLQFcm,chan-rachel,0,47,Canada,47,Canada,2,2,21,21,Me1tZvUH-SWMLni8b.png,HUO,URIvQnHO,Huo F.,Huo F.,4nTTOgSa,huo-faye,1,1,0,24,Australia,0,0,10,5,rm9NdBne-MqJxuqUA.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,fBGF0gQ6,1777366800,1777366800,3,3,3,Pavlova G.,0,0,1777369083,0,-1,,PAV,8IStekY6,Pavlova G.,Pavlova G.,Yqn48YsJ,pavlova-gergana,0,41,Bulgaria,41,Bulgaria,2,2,21,21,women,TER,rNljy2TB,Teruel C.,Teruel C.,QwZkWyzQ,teruel-cristina,1,1,0,176,Spain,0,0,16,12,6X28GjlC-IZvmuqAH.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ALuQBvj5,1777370700,1777370700,3,3,3,Hoang C.,0,0,1777371892,0,-1,,HOA,tMzJPw0a,Hoang C.,Hoang C.,bRqY08dE,hoang-chloe,0,47,Canada,47,Canada,2,2,21,21,UeiTZEPq-MNZExTxD.png,CAR,t0DTQ2DT,Carrisia J.,Carrisia J.,4OntanRQ,carrisia-jesslyn,1,1,0,24,Australia,0,0,13,8,women,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,UsC9MzmQ,1777371000,1777371000,3,3,3,Lin H. T.,0,0,1777374914,0,-1,,LIN,nm24F6iE,Lin H. T.,Lin H. T.,x0RyNXdC,lin-hsiang-ti,0,218,Taiwan,218,Taiwan,2,2,21,30,jsltEule-hpoee7vH.png,PRA,vwbbWLUH,Pratiwi N. K. D. A.,Pratiwi N. K. D. A.,OGPqLBRO,pratiwi-ni,1,1,0,228,Indonesia,0,0,10,29,r7uuOVQq-bamWvFso.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,x8sID0Lh,1777372500,1777372500,3,3,3,Popivanova E.,0,0,1777374314,0,-1,,POP,Y770quAr,Popivanova E.,Popivanova E.,dv7teI8e,popivanova-elena,0,41,Bulgaria,41,Bulgaria,0,0,18,12,women,COS,0WQ8Nvxi,Costero I.,Costero I.,Ui5lgdw8,costero-ines,2,2,0,176,Spain,2,2,21,21,women,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,IoqY9IKH,1777380000,1777380000,3,3,3,Huang Y-H.,0,0,1777384175,0,-1,,HUA,4Kv6XGa1,Huang Y-H.,Huang Y-H.,0fYBgQll,huang-yu-hsun,0,218,Taiwan,218,Taiwan,1,1,21,19,txvej5WH-Cbcpa4F9.png,WAR,C6hchcQt,Wardoyo E. N. T.,Wardoyo E. N. T.,8KyKi4J0,wardoyo-ester-nurumi-tri,2,2,0,228,Indonesia,2,2,15,21,WrIZQyne-viGlTsu9.png,12,21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4rT0JYTH,1777392600,1777392600,3,3,3,An S. Y.,0,0,1777395165,0,-1,,AN,CChiNgrS,An S. Y.,An S. Y.,8KTZ5VIj,an-se-young,0,106,South Korea,106,South Korea,2,2,21,21,E77d56jT-EThGTIUN.png,INT,4CEwVcY9,Intanon R.,Intanon R.,zRLLTYAc,intanon-ratchanok,1,1,0,186,Thailand,0,0,15,12,2LHxJqA6-Spvaw1Sh.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,xdR8HCbU,1777398600,1777398600,3,3,3,Kim G. E.,0,0,1777402867,0,-1,,KIM,ju7mEOC7,Kim G. E.,Kim G. E.,8vKTRCuA,kim-ga-eun,0,106,South Korea,106,South Korea,2,2,18,21,MDWuTwle-ShQLS8eS.png,CHO,GKVi2Jal,Chochuwong Po.,Chochuwong Po.,feIyQjAM,chochuwong-pornpawee,1,1,0,186,Thailand,1,1,21,16,EH8fmdS0-4lWrAiWQ.png,21,17,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0WuoaAsA,1777398900,1777398900,3,3,3,Teeraratsakul P.,0,0,1777400326,0,-1,,MAM,ncF7eOD4/SrF5kGOS,Oupthong R./Teeraratsakul P.,Oupthong R.,WYQ3b5Xo,oupthong-ruttanapak,0,186,Thailand,186/186,Thailand,2,2,21,21,dEuuxiBN-YLyDzYiH.png;bJVLC7AN-YyGZPRi7.png,HAM,tzRaNggS/YZMSJptF,Hamek A./Mammeri K.,Hamek A.,vaUBdq2b,hamek-adel,1,1,0,18,Algeria,0,0,6,11,ABn8gpkC-A5ktNonN.png;men,,,Teeraratsakul P.,186,Thailand,Mammeri K.,18,Algeria,,,,,,
,,,,,,,,,,,,,,,,,vk5C2INc,1777314000,1777314000,3,3,3,Inci N.,0,0,1777315604,0,-1,,SCH,CQyxNucE/A7Id6ieH,Ercetin B./Inci N.,Ercetin B.,nNrbvlPj,ercetin-bengisu,0,191,Turkey,191/191,Turkey,2,2,21,21,women;women,ACK,K8Maps6a/p84bXKGR,Ackerman A./Scholtz J.,Ackerman A.,ETzp2iHc,ackerman-amy,1,1,0,175,South Africa,0,0,8,5,women;WSVy2Y6k-hl1lRaV4.png,,,Inci N.,191,Turkey,Scholtz J.,175,South Africa,,,,,,
,,,,,,,,,,,,,,,,,KS6SbzNM,1777316100,1777316100,3,3,3,Yildiz S.,0,0,1777317533,0,-1,,SCH,2B9guLRj/8tLxj8Rb,Bektas Y./Yildiz S.,Bektas Y.,bcxTyALr,bektas-yasemen,0,191,Turkey,191/191,Turkey,2,2,21,21,women;women,DE,r94DQXfP/fsHzDFU8,De Villiers E./Schoonees A.,De Villiers E.,WAzyzlje,de-villiers-elme,1,1,0,175,South Africa,0,0,7,7,women;women,,,Yildiz S.,191,Turkey,Schoonees A.,175,South Africa,,,,,,
,,,,,,,,,,,,,,,,,roEmncwH,1777316700,1777316700,3,3,3,Pilgaard S.,0,0,1777318114,0,-1,,ALY,0QY5ix2g/hxHGdqP7,Boje A./Pilgaard S.,Boje A.,69OopJeC,boje-alexandra,0,63,Denmark,63/63,Denmark,2,2,21,21,pGJw8yle-nJUBLY6O.png;women,ALM,xhrIw6oO/URvAuSGB,Almalalha R./Alymova A.,Almalalha R.,jaoJRAuo,almalalha-raiia,1,1,0,195,Ukraine,0,0,6,6,women;women,,,Pilgaard S.,63,Denmark,Alymova A.,195,Ukraine,,,,,,
,,,,,,,,,,,,,,,,,Q7SaytPb,1777317000,1777317000,3,3,3,Tan N.,0,0,1777319018,0,-1,,MIS,YXlHiRkI/KWZL2ZYQ,Liu S. S./Tan N.,Liu S. S.,t6gmSpzR,liu-sheng-shu,0,52,China,52/52,China,2,2,21,21,KdjWG096-vZn8bQa0.png;txnbrCS0-Y3CykbAD.png,KON,KppCwILm/WCgiqolf,Konjengbam P./Mishra S.,Konjengbam P.,ClpJMOcl,konjengbam-priya,1,1,0,93,India,0,0,11,8,women;women,,,Tan N.,52,China,Mishra S.,93,India,,,,,,
,,,,,,,,,,,,,,,,,lrcbgEpp,1777318800,1777318800,3,3,3,Werge M.,0,0,1777320744,0,-1,,STO,SEEzFoFb/OGwq8tsB,Kudsk A. C./Werge M.,Kudsk A. C.,4xlrYRK7,kudsk-amalie-cecilie,0,63,Denmark,63/63,Denmark,2,2,21,21,lYZjKQ7k-6DryaQcd.png;women,LAV,EZgUkyjn/CY9ys7Qi,Lavrova S./Stoliarenko M.,Lavrova S.,WrtUeVCE,lavrova-sofiia,1,1,0,195,Ukraine,0,0,14,10,EuBLLk86-Kj7BqpFA.png;EyoRlERq-Eyw7qe2n.png,,,Werge M.,63,Denmark,Stoliarenko M.,195,Ukraine,,,,,,
,,,,,,,,,,,,,,,,,GbCepy8T,1777322700,1777322700,3,3,3,Zhang S. X.,0,0,1777326287,0,-1,,SEL,lxKhNwPF/U3i9EE2M,Luo X. M./Zhang S. X.,Luo X. M.,I5w5kEXi,luo-xumin,0,52,China,52/52,China,2,2,10,21,K4lJscSq-Ghs4KeOK.png;SfJsvmjC-fmvs4Lq7.png,CRA,SChBu4YE/thnFPc57,Crasto T./Selvam K.,Crasto T.,jJyDmh24,crasto-tanisha,1,1,0,93,India,1,1,21,12,lEoT4rRq-OfnpDZxp.png;6i3ZhuXH-4CUZEnI2.png,21,19,Zhang S. X.,52,China,Selvam K.,93,India,,,,,,
,,,,,,,,,,,,,,,,,McI72Fef,1777367400,1777367400,3,3,3,Hung E-T.,0,0,1777370318,0,-1,,RAM,pnIds2sn/U5U3R0ah,Hsieh P. S./Hung E-T.,Hsieh P. S.,KMulCGrf,hsieh-pei-shan,0,218,Taiwan,218/218,Taiwan,2,2,23,21,AFjg5fSq-M3H94fM3.png;zkr63DSq-6RB3nAhU.png,PRA,xMMfdJ0q/M3Xgakqj,Pratiwi A. C./Ramadhanti S. F. S.,Pratiwi A. C.,SnqdAfD6,pratiwi-amalia-cahaya,1,1,0,228,Indonesia,0,0,21,13,8MKaSZUH-E7cObKTt.png;h6ILtSlC-Y34kI6XT.png,,,Hung E-T.,218,Taiwan,Ramadhanti S. F. S.,228,Indonesia,,,,,,
,,,,,,,,,,,,,,,,,h8c3BAvP,1777368000,1777368000,3,3,3,Lai C.,0,0,1777370033,0,-1,,YU,Y9VV9pP4/xSJvJgXl,Choi C./Lai C.,Choi C.,hAC9tJg2,choi-catherine,0,47,Canada,47/47,Canada,0,0,17,12,women;fLXkh1AN-dvDJI3dn.png,SOM,ttQJjff1/Qk5dd7Ph,Somerville G./Yu A.,Somerville G.,KG4e4Mo9,somerville-gronya,2,2,0,24,Australia,2,2,21,21,4d6wgvlC-StMaTSB5.png;G6K6FD6k-YmScE9Z3.png,,,Lai C.,47,Canada,Yu A.,24,Australia,,,,,,
,,,,,,,,,,,,,,,,,QDcuHEAm,1777369500,1777369500,3,3,3,Stoeva S.,0,0,1777371973,0,-1,,JIM,6TzzmHT3/KfsLJ9Lu,Stoeva G./Stoeva S.,Stoeva G.,Eu5guFCt,stoeva-gabriela,0,41,Bulgaria,41/41,Bulgaria,2,2,21,21,C0YPzghT-CrqF4cEU.png;lf1Nhele-CrqF4cEU.png,CAR,6uSzXd86/f1pQLQUP,Carulla N./Jimenez C. M.,Carulla N.,ng31wgsg,carulla-nikol,1,1,0,176,Spain,0,0,11,7,women;women,,,Stoeva S.,41,Bulgaria,Jimenez C. M.,176,Spain,,,,,,
,,,,,,,,,,,,,,,,,C8vuQUAF,1777372500,1777372500,3,3,3,Zhang W. Y.,0,0,1777374131,0,-1,,TJO,QN5fxYoF/I17Rijdl,Zhang E./Zhang W. Y.,Zhang E.,fFWLGBhT,zhang-eliana,0,47,Canada,47/47,Canada,2,2,21,21,CCYmXqDN-d8IhtbHi.png;jRTxpySq-UwdF6c9Q.png,HUO,6BjmfIs5/URIvQnHO,Huo F./Tjonadi V.,Huo F.,OUMiBkGj,huo-faye,1,1,0,24,Australia,0,0,13,18,rm9NdBne-MqJxuqUA.png;h2jidT7k-U7PZ4zKm.png,,,Zhang W. Y.,47,Canada,Tjonadi V.,24,Australia,,,,,,
,,,,,,,,,,,,,,,,,vetXRjt3,1777374900,1777374900,3,3,8,Pavlova G.,0,0,1777376511,0,-1,,ROD,8IStekY6/CAXA6fWO,Nalbantova K./Pavlova G.,Nalbantova K.,EyV5Kgg4,nalbantova-kaloyana,0,41,Bulgaria,41/41,Bulgaria,0,0,12,0,MiBJ9096-CzFpUage.png;women,LOP,zmsqzejs/OKVE3t1m,Lopez P./Rodriguez L.,Lopez P.,nkTDIXNG,lopez-paula,2,2,0,176,Spain,1,1,21,0,women;G4HvROkC-j9ftNC8S.png,,,Pavlova G.,41,Bulgaria,Rodriguez L.,176,Spain,,,,,,
,,,,,,,,,,,,,,,,,p0PAFMjt,1777375500,1777375500,3,3,3,Lin J. Y.,0,0,1777379422,0,-1,,SET,AVIASHpr/bN2voBjF,Hsu Y. H./Lin J. Y.,Hsu Y. H.,hU2320GL,hsu-yin-hui,0,218,Taiwan,218/218,Taiwan,1,1,21,20,f1L1iKne-xrbb8jmU.png;hjSzz0me-ATi6eHSh.png,ROS,IqZ1jWNK/YymFiREU,Rose R. A./Setianingrum F.,Rose R. A.,lE3Ydvvq,rose-rachel-allessya,2,2,0,228,Indonesia,2,2,11,22,MwSeXE8k-lWEoXvot.png;SphWRB96-nTeeuDD7.png,16,21,Lin J. Y.,218,Taiwan,Setianingrum F.,228,Indonesia,,,,,,
,,,,,,,,,,,,,,,,,Ey5QZgEb,1777395600,1777395600,3,3,3,Lee S. H.,0,0,1777398243,0,-1,,TUN,fJKDE6rd/QZ4tWLCS,Baek H. N./Lee S. H.,Baek H. N.,Qca1tCf3,baek-ha-na,0,106,South Korea,106/106,South Korea,2,2,21,21,8dNPyhjT-xxmcCuIG.png;0AWVtlSq-8hBiNnJk.png,MIJ,bREFmD5E/OncKZP2M,Mijad H./Tungkasatan N.,Mijad H.,Wf29vjPF,mijad-hathaithip,1,1,0,186,Thailand,0,0,11,14,women;women,,,Lee S. H.,106,South Korea,Tungkasatan N.,186,Thailand,,,,,,
,,,,,,,,,,,,,,,,,4ne3xKVi,1777392600,1777392600,3,3,3,Indonesia,0,0,1777412407,0,-1,,IND,lOljGcSd,Indonesia,Indonesia,UemVysJl,indonesia,0,,,,,1,1,,,tnIPolXH-YTwvSpN0.png,FRA,2uz9VGqe,France,France,29owzLm1,france,2,2,0,,,4,4,,,MgLHF57k-GntWT6hl.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,xt3HEGwo,1777392600,1777392600,3,3,3,Thailand,0,0,1777402167,0,-1,,THA,pfIIBZtS,Thailand,Thailand,65vhqPQE,thailand,0,,,,,5,5,,,6FMCzJiT-AixrR4x7.png,ALG,CW2xqknC,Algeria,Algeria,EVs0s3eR,algeria,1,1,0,,,0,0,,,Iq7iCMRq-U9UkzXjf.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,zRTqxBy9,1777308000,1777308000,3,3,3,Denmark W,0,0,1777320820,0,-1,,DEN,23MJYVmr,Denmark W,Denmark W,W8elo6Da,denmark,0,,,,,4,4,,,OnHYizlC-xISktTT9.png,UKR,xtVLtIxU,Ukraine W,Ukraine W,vZbdqprC,ukraine,1,1,0,,,1,1,,,GWxXXCQq-pd77sQMm.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2w13s6Dl,1777308000,1777308000,3,3,3,Turkey W,0,0,1777317589,0,-1,,TUR,dQL7lO2H,Turkey W,Turkey W,pjhrCZHF,turkey,0,,,,,5,5,,,x0OMWble-SCC5WVgh.png,SOU,Kvo8YO0r,South Africa W,South Africa W,I3jjADnS,south-africa,1,1,0,,,0,0,,,4pRmnOA6-lpOlJAuM.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MsSizk6L,1777311600,1777311600,3,3,3,China W,0,0,1777330523,0,-1,,CHI,8GDiSfR8,China W,China W,pYQTQySp,china,0,,,,,5,5,,,GbBXvrUH-AixrR4x7.png,IND,lSUlREtF,India W,India W,xSDFluKi,india,1,1,0,,,0,0,,,fPlafxne-AixrR4x7.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,dbuW40BC,1777363800,1777363800,3,3,3,Bulgaria W,0,0,1777376524,0,-1,,BUL,2w3QUKwI,Bulgaria W,Bulgaria W,UyZ2txTN,bulgaria,0,,,,,3,3,,,IgOrXlQq-6583r67s.png,SPA,vZrzX9If,Spain W,Spain W,0KPYzGjo,spain,1,1,0,,,2,2,,,0nFPTlT0-4dMymnaQ.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,vLgrfqcf,1777363800,1777363800,3,3,3,Canada W,0,0,1777374196,0,-1,,CAN,zJLUYQ3g,Canada W,Canada W,UJiSK30m,canada,0,,,,,4,4,,,K6CpdfS0-Ii2NwrMC.png,AUS,EXrGl63t,Australia W,Australia W,xpezJsVa,australia,1,1,0,,,1,1,,,IBycRsXH-dr1Rx2yJ.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,nocjhNR6,1777363800,1777363800,3,3,3,Chinese T. W,0,0,1777384265,0,-1,,CHI,MuTdPhBR,Chinese T. W,Chinese T. W,rsbrHLaC,chinese-taipei,0,,,,,2,2,,,6iIUFvkC-lrynQOiD.png,IND,h8ypIA31,Indonesia W,Indonesia W,GfdjFaUO,indonesia,2,2,0,,,3,3,,,fkf06VRq-4dMymnaQ.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,tl23nheo,1777392600,1777392600,3,3,3,South Korea W,0,0,1777409179,0,-1,,KOR,2m8KXrGl,South Korea W,South Korea W,SQHKbJrh,south-korea,0,,,,,5,5,,,dC5St2oe-lpOlJAuM.png,THA,OYWuJjle,Thailand W,Thailand W,0vGSdcD4,thailand,1,1,0,,,0,0,,,Wt2ZjyA6-4dMymnaQ.png,,,,,,,,,,,,,,
